iter,L_cont,L_mom,loss
0.000000000000000000e+00,1.847530126571655273e+00,4.610823364257812500e+02,4.629298706054687500e+02
1.000000000000000000e+00,1.188531756401062012e+00,4.438254394531250000e+02,4.450139770507812500e+02
2.000000000000000000e+00,7.594041228294372559e-01,4.276434020996093750e+02,4.284028015136718750e+02
3.000000000000000000e+00,5.632071495056152344e-01,4.122302551269531250e+02,4.127934570312500000e+02
4.000000000000000000e+00,6.177802681922912598e-01,3.973220214843750000e+02,3.979397888183593750e+02
5.000000000000000000e+00,9.487647414207458496e-01,3.826809082031250000e+02,3.836296691894531250e+02
6.000000000000000000e+00,1.582711935043334961e+00,3.681122131347656250e+02,3.696949157714843750e+02
7.000000000000000000e+00,2.555605649948120117e+00,3.534629211425781250e+02,3.560185241699218750e+02
8.000000000000000000e+00,3.930230617523193359e+00,3.386288452148437500e+02,3.425590820312500000e+02
9.000000000000000000e+00,5.815427780151367188e+00,3.235933227539062500e+02,3.294087524414062500e+02
1.000000000000000000e+01,8.350175857543945312e+00,3.085345764160156250e+02,3.168847656250000000e+02
1.100000000000000000e+01,1.164753627777099609e+01,2.939689941406250000e+02,3.056165161132812500e+02
1.200000000000000000e+01,1.547911739349365234e+01,2.805905456542968750e+02,2.960696716308593750e+02
1.300000000000000000e+01,1.829231262207031250e+01,2.665407714843750000e+02,2.848330688476562500e+02
1.400000000000000000e+01,1.906690597534179688e+01,2.489363555908203125e+02,2.680032653808593750e+02
1.500000000000000000e+01,1.749210548400878906e+01,2.257785797119140625e+02,2.432706909179687500e+02
1.600000000000000000e+01,1.394459915161132812e+01,1.974486846923828125e+02,2.113932800292968750e+02
1.700000000000000000e+01,9.568454742431640625e+00,1.676026306152343750e+02,1.771710815429687500e+02
1.800000000000000000e+01,6.203361511230468750e+00,1.420003204345703125e+02,1.482036743164062500e+02
1.900000000000000000e+01,5.448601722717285156e+00,1.219597091674804688e+02,1.274083099365234375e+02
2.000000000000000000e+01,6.535724163055419922e+00,9.873097991943359375e+01,1.052667007446289062e+02
2.100000000000000000e+01,7.116274356842041016e+00,6.780033874511718750e+01,7.491661071777343750e+01
