iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.984466314315795898e+00,1.949077725410461426e+00,3.933544158935546875e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,1.447309374809265137e+00,1.292566180229187012e+00,2.739875555038452148e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,4.344159662723541260e-01,2.875091135501861572e-01,7.219250798225402832e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,1.853591203689575195e-01,8.200827986001968384e-02,2.673673927783966064e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,1.667411327362060547e-01,9.693705290555953979e-02,2.636781930923461914e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,5.291629955172538757e-02,2.557741291821002960e-02,7.849371433258056641e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,8.346226066350936890e-02,4.771963506937026978e-02,1.311818957328796387e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,9.302092343568801880e-02,5.387450382113456726e-02,1.468954235315322876e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,4.545779153704643250e-02,1.882012560963630676e-02,6.427791714668273926e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,2.047675475478172302e-02,8.391678333282470703e-03,2.886843308806419373e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,2.394655346870422363e-02,1.064123678952455521e-02,3.458778932690620422e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,1.377356704324483871e-02,4.526926670223474503e-03,1.830049417912960052e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.200000000000000000e+01,8.092119358479976654e-03,3.336149733513593674e-03,1.142826862633228302e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.300000000000000000e+01,9.710607118904590607e-03,4.831041209399700165e-03,1.454164832830429077e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.400000000000000000e+01,9.008238092064857483e-03,2.040931722149252892e-03,1.104917004704475403e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.500000000000000000e+01,4.028041381388902664e-03,1.426302944310009480e-03,5.454344209283590317e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.600000000000000000e+01,4.424415063112974167e-03,1.910260878503322601e-03,6.334675941616296768e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,6.501056253910064697e-03,1.088656834326684475e-03,7.589713204652070999e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.800000000000000000e+01,3.719263942912220955e-03,8.167040068656206131e-04,4.535967949777841568e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.900000000000000000e+01,1.653447863645851612e-03,7.129996083676815033e-04,2.366447355598211288e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.000000000000000000e+01,3.391155740246176720e-03,8.091516792774200439e-04,4.200307652354240417e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.100000000000000000e+01,3.028567414730787277e-03,5.685475771315395832e-04,3.597114933654665947e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
