y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,8.177757263183593750e-05,7.812500000000000000e-03,3.147125244140625000e-05
1.562500000000000000e-02,1.096725463867187500e-04,1.562500000000000000e-02,2.694129943847656250e-05
2.343750000000000000e-02,1.177787780761718750e-04,2.343750000000000000e-02,2.717971801757812500e-05
3.125000000000000000e-02,1.120567321777343750e-04,3.125000000000000000e-02,2.145767211914062500e-05
3.906250000000000000e-02,9.250640869140625000e-05,3.906250000000000000e-02,1.621246337890625000e-05
4.687500000000000000e-02,6.341934204101562500e-05,4.687500000000000000e-02,1.382827758789062500e-05
5.468750000000000000e-02,2.694129943847656250e-05,5.468750000000000000e-02,1.358985900878906250e-05
6.250000000000000000e-02,-8.344650268554687500e-06,6.250000000000000000e-02,1.144409179687500000e-05
7.031250000000000000e-02,-3.695487976074218750e-05,7.031250000000000000e-02,1.144409179687500000e-05
7.812500000000000000e-02,-5.555152893066406250e-05,7.812500000000000000e-02,1.382827758789062500e-05
8.593750000000000000e-02,-6.103515625000000000e-05,8.593750000000000000e-02,1.931190490722656250e-05
9.375000000000000000e-02,-5.364418029785156250e-05,9.375000000000000000e-02,2.384185791015625000e-05
1.015625000000000000e-01,-3.623962402343750000e-05,1.015625000000000000e-01,2.813339233398437500e-05
1.093750000000000000e-01,-1.287460327148437500e-05,1.093750000000000000e-01,3.147125244140625000e-05
1.171875000000000000e-01,1.239776611328125000e-05,1.171875000000000000e-01,3.385543823242187500e-05
1.250000000000000000e-01,3.671646118164062500e-05,1.250000000000000000e-01,3.314018249511718750e-05
1.328125000000000000e-01,5.817413330078125000e-05,1.328125000000000000e-01,3.218650817871093750e-05
1.406250000000000000e-01,7.247924804687500000e-05,1.406250000000000000e-01,2.908706665039062500e-05
1.484375000000000000e-01,7.891654968261718750e-05,1.484375000000000000e-01,2.574920654296875000e-05
1.562500000000000000e-01,7.390975952148437500e-05,1.562500000000000000e-01,2.050399780273437500e-05
1.640625000000000000e-01,5.626678466796875000e-05,1.640625000000000000e-01,1.549720764160156250e-05
1.718750000000000000e-01,2.980232238769531250e-05,1.718750000000000000e-01,8.344650268554687500e-06
1.796875000000000000e-01,-2.145767211914062500e-06,1.796875000000000000e-01,3.576278686523437500e-06
1.875000000000000000e-01,-3.170967102050781250e-05,1.875000000000000000e-01,-9.536743164062500000e-07
1.953125000000000000e-01,-5.459785461425781250e-05,1.953125000000000000e-01,-5.483627319335937500e-06
2.031250000000000000e-01,-6.914138793945312500e-05,2.031250000000000000e-01,-1.001358032226562500e-05
2.109375000000000000e-01,-7.319450378417968750e-05,2.109375000000000000e-01,-1.287460327148437500e-05
2.187500000000000000e-01,-6.532669067382812500e-05,2.187500000000000000e-01,-1.764297485351562500e-05
2.265625000000000000e-01,-4.792213439941406250e-05,2.265625000000000000e-01,-2.193450927734375000e-05
2.343750000000000000e-01,-2.455711364746093750e-05,2.343750000000000000e-01,-2.717971801757812500e-05
2.421875000000000000e-01,3.337860107421875000e-06,2.421875000000000000e-01,-2.980232238769531250e-05
2.500000000000000000e-01,2.813339233398437500e-05,2.500000000000000000e-01,-3.337860107421875000e-05
2.578125000000000000e-01,4.911422729492187500e-05,2.578125000000000000e-01,-3.528594970703125000e-05
2.656250000000000000e-01,6.508827209472656250e-05,2.656250000000000000e-01,-3.767013549804687500e-05
2.734375000000000000e-01,6.937980651855468750e-05,2.734375000000000000e-01,-3.647804260253906250e-05
2.812500000000000000e-01,6.437301635742187500e-05,2.812500000000000000e-01,-3.504753112792968750e-05
2.890625000000000000e-01,4.887580871582031250e-05,2.890625000000000000e-01,-3.242492675781250000e-05
2.968750000000000000e-01,2.551078796386718750e-05,2.968750000000000000e-01,-2.622604370117187500e-05
3.046875000000000000e-01,-9.536743164062500000e-07,3.046875000000000000e-01,-1.931190490722656250e-05
3.125000000000000000e-01,-2.598762512207031250e-05,3.125000000000000000e-01,-1.287460327148437500e-05
3.203125000000000000e-01,-4.482269287109375000e-05,3.203125000000000000e-01,-6.198883056640625000e-06
3.281250000000000000e-01,-5.412101745605468750e-05,3.281250000000000000e-01,-2.622604370117187500e-06
3.359375000000000000e-01,-5.245208740234375000e-05,3.359375000000000000e-01,-1.192092895507812500e-06
3.437500000000000000e-01,-4.386901855468750000e-05,3.437500000000000000e-01,-2.622604370117187500e-06
3.515625000000000000e-01,-2.861022949218750000e-05,3.515625000000000000e-01,-5.245208740234375000e-06
3.593750000000000000e-01,-1.072883605957031250e-05,3.593750000000000000e-01,-7.867813110351562500e-06
3.671875000000000000e-01,6.914138793945312500e-06,3.671875000000000000e-01,-1.120567321777343750e-05
3.750000000000000000e-01,2.431869506835937500e-05,3.750000000000000000e-01,-1.597404479980468750e-05
3.828125000000000000e-01,4.148483276367187500e-05,3.828125000000000000e-01,-1.883506774902343750e-05
3.906250000000000000e-01,5.722045898437500000e-05,3.906250000000000000e-01,-1.955032348632812500e-05
3.984375000000000000e-01,6.628036499023437500e-05,3.984375000000000000e-01,-1.835823059082031250e-05
4.062500000000000000e-01,6.508827209472656250e-05,4.062500000000000000e-01,-1.716613769531250000e-05
4.140625000000000000e-01,5.364418029785156250e-05,4.140625000000000000e-01,-1.478195190429687500e-05
4.218750000000000000e-01,3.242492675781250000e-05,4.218750000000000000e-01,-1.120567321777343750e-05
4.296875000000000000e-01,5.006790161132812500e-06,4.296875000000000000e-01,-5.960464477539062500e-06
4.375000000000000000e-01,-2.074241638183593750e-05,4.375000000000000000e-01,-3.337860107421875000e-06
4.453125000000000000e-01,-4.196166992187500000e-05,4.453125000000000000e-01,-9.536743164062500000e-07
4.531250000000000000e-01,-5.483627319335937500e-05,4.531250000000000000e-01,4.768371582031250000e-07
4.609375000000000000e-01,-5.841255187988281250e-05,4.609375000000000000e-01,-4.768371582031250000e-07
4.687500000000000000e-01,-5.459785461425781250e-05,4.687500000000000000e-01,-3.814697265625000000e-06
4.765625000000000000e-01,-4.243850708007812500e-05,4.765625000000000000e-01,-8.583068847656250000e-06
4.843750000000000000e-01,-2.622604370117187500e-05,4.843750000000000000e-01,-1.263618469238281250e-05
4.921875000000000000e-01,-8.344650268554687500e-06,4.921875000000000000e-01,-1.716613769531250000e-05
5.000000000000000000e-01,1.168251037597656250e-05,5.000000000000000000e-01,-2.002716064453125000e-05
5.078125000000000000e-01,2.908706665039062500e-05,5.078125000000000000e-01,-2.074241638183593750e-05
5.156250000000000000e-01,4.291534423828125000e-05,5.156250000000000000e-01,-2.121925354003906250e-05
5.234375000000000000e-01,5.292892456054687500e-05,5.234375000000000000e-01,-1.907348632812500000e-05
5.312500000000000000e-01,5.674362182617187500e-05,5.312500000000000000e-01,-1.573562622070312500e-05
5.390625000000000000e-01,5.269050598144531250e-05,5.390625000000000000e-01,-1.001358032226562500e-05
5.468750000000000000e-01,3.933906555175781250e-05,5.468750000000000000e-01,-2.384185791015625000e-06
5.546875000000000000e-01,2.074241638183593750e-05,5.546875000000000000e-01,5.006790161132812500e-06
5.625000000000000000e-01,3.099441528320312500e-06,5.625000000000000000e-01,1.454353332519531250e-05
5.703125000000000000e-01,-1.144409179687500000e-05,5.703125000000000000e-01,2.622604370117187500e-05
5.781250000000000000e-01,-2.288818359375000000e-05,5.781250000000000000e-01,3.743171691894531250e-05
5.859375000000000000e-01,-2.670288085937500000e-05,5.859375000000000000e-01,4.267692565917968750e-05
5.937500000000000000e-01,-2.408027648925781250e-05,5.937500000000000000e-01,4.720687866210937500e-05
6.015625000000000000e-01,-1.931190490722656250e-05,6.015625000000000000e-01,4.863739013671875000e-05
6.093750000000000000e-01,-1.144409179687500000e-05,6.093750000000000000e-01,4.577636718750000000e-05
6.171875000000000000e-01,-3.099441528320312500e-06,6.171875000000000000e-01,4.124641418457031250e-05
6.250000000000000000e-01,5.245208740234375000e-06,6.250000000000000000e-01,3.600120544433593750e-05
6.328125000000000000e-01,1.335144042968750000e-05,6.328125000000000000e-01,3.075599670410156250e-05
6.406250000000000000e-01,1.859664916992187500e-05,6.406250000000000000e-01,2.813339233398437500e-05
6.484375000000000000e-01,1.907348632812500000e-05,6.484375000000000000e-01,2.551078796386718750e-05
6.562500000000000000e-01,1.263618469238281250e-05,6.562500000000000000e-01,2.384185791015625000e-05
6.640625000000000000e-01,-3.099441528320312500e-06,6.640625000000000000e-01,2.288818359375000000e-05
6.718750000000000000e-01,-2.574920654296875000e-05,6.718750000000000000e-01,2.288818359375000000e-05
6.796875000000000000e-01,-4.959106445312500000e-05,6.796875000000000000e-01,2.551078796386718750e-05
6.875000000000000000e-01,-7.152557373046875000e-05,6.875000000000000000e-01,2.956390380859375000e-05
6.953125000000000000e-01,-8.654594421386718750e-05,6.953125000000000000e-01,3.170967102050781250e-05
7.031250000000000000e-01,-9.465217590332031250e-05,7.031250000000000000e-01,3.337860107421875000e-05
7.109375000000000000e-01,-9.250640869140625000e-05,7.109375000000000000e-01,3.242492675781250000e-05
7.187500000000000000e-01,-8.106231689453125000e-05,7.187500000000000000e-01,2.884864807128906250e-05
7.265625000000000000e-01,-6.365776062011718750e-05,7.265625000000000000e-01,2.241134643554687500e-05
7.343750000000000000e-01,-3.814697265625000000e-05,7.343750000000000000e-01,1.645088195800781250e-05
7.421875000000000000e-01,-1.096725463867187500e-05,7.421875000000000000e-01,8.583068847656250000e-06
7.500000000000000000e-01,1.478195190429687500e-05,7.500000000000000000e-01,7.152557373046875000e-07
7.578125000000000000e-01,3.623962402343750000e-05,7.578125000000000000e-01,-5.006790161132812500e-06
7.656250000000000000e-01,4.982948303222656250e-05,7.656250000000000000e-01,-9.775161743164062500e-06
7.734375000000000000e-01,5.674362182617187500e-05,7.734375000000000000e-01,-1.430511474609375000e-05
7.812500000000000000e-01,5.578994750976562500e-05,7.812500000000000000e-01,-1.645088195800781250e-05
7.890625000000000000e-01,4.577636718750000000e-05,7.890625000000000000e-01,-1.645088195800781250e-05
7.968750000000000000e-01,2.717971801757812500e-05,7.968750000000000000e-01,-1.120567321777343750e-05
8.046875000000000000e-01,4.529953002929687500e-06,8.046875000000000000e-01,-5.722045898437500000e-06
8.125000000000000000e-01,-1.764297485351562500e-05,8.125000000000000000e-01,3.576278686523437500e-06
8.203125000000000000e-01,-3.623962402343750000e-05,8.203125000000000000e-01,1.573562622070312500e-05
8.281250000000000000e-01,-4.625320434570312500e-05,8.281250000000000000e-01,2.717971801757812500e-05
8.359375000000000000e-01,-4.577636718750000000e-05,8.359375000000000000e-01,3.314018249511718750e-05
8.437500000000000000e-01,-3.695487976074218750e-05,8.437500000000000000e-01,3.457069396972656250e-05
8.515625000000000000e-01,-2.098083496093750000e-05,8.515625000000000000e-01,3.385543823242187500e-05
8.593750000000000000e-01,-3.814697265625000000e-06,8.593750000000000000e-01,3.266334533691406250e-05
8.671875000000000000e-01,1.144409179687500000e-05,8.671875000000000000e-01,2.765655517578125000e-05
8.750000000000000000e-01,2.574920654296875000e-05,8.750000000000000000e-01,2.241134643554687500e-05
8.828125000000000000e-01,3.719329833984375000e-05,8.828125000000000000e-01,1.597404479980468750e-05
8.906250000000000000e-01,4.363059997558593750e-05,8.906250000000000000e-01,1.192092895507812500e-05
8.984375000000000000e-01,4.243850708007812500e-05,8.984375000000000000e-01,6.914138793945312500e-06
9.062500000000000000e-01,3.242492675781250000e-05,9.062500000000000000e-01,1.907348632812500000e-06
9.140625000000000000e-01,1.382827758789062500e-05,9.140625000000000000e-01,-2.861022949218750000e-06
9.218750000000000000e-01,-1.025199890136718750e-05,9.218750000000000000e-01,-2.861022949218750000e-06
9.296875000000000000e-01,-3.671646118164062500e-05,9.296875000000000000e-01,-4.768371582031250000e-07
9.375000000000000000e-01,-5.960464477539062500e-05,9.375000000000000000e-01,4.768371582031250000e-06
9.453125000000000000e-01,-7.414817810058593750e-05,9.453125000000000000e-01,1.120567321777343750e-05
9.531250000000000000e-01,-8.130073547363281250e-05,9.531250000000000000e-01,2.002716064453125000e-05
9.609375000000000000e-01,-8.106231689453125000e-05,9.609375000000000000e-01,2.861022949218750000e-05
9.687500000000000000e-01,-7.224082946777343750e-05,9.687500000000000000e-01,3.504753112792968750e-05
9.765625000000000000e-01,-5.435943603515625000e-05,9.765625000000000000e-01,3.671646118164062500e-05
9.843750000000000000e-01,-2.288818359375000000e-05,9.843750000000000000e-01,3.242492675781250000e-05
9.921875000000000000e-01,2.384185791015625000e-06,9.921875000000000000e-01,2.741813659667968750e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
