iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.035744696855545044e-02,6.593748461455106735e-03,1.695119589567184448e-02,0.000000000000000000e+00,5.798959359526634216e-02,1.423368230462074280e-02,1.190216615796089172e-01,4.864779710769653320e-01,1.194071620702743530e-01,9.984794259071350098e-01
1.000000000000000000e+00,1.272985478863120079e-03,4.611076437868177891e-04,1.734093064442276955e-03,0.000000000000000000e+00,5.788874998688697815e-02,1.422975864261388779e-02,1.189298257231712341e-01,4.860598444938659668e-01,1.194794327020645142e-01,9.985881447792053223e-01
2.000000000000000000e+00,2.858799649402499199e-03,4.032481519971042871e-04,3.262047888711094856e-03,0.000000000000000000e+00,5.787116289138793945e-02,1.420074701309204102e-02,1.187385842204093933e-01,4.862121343612670898e-01,1.193070709705352783e-01,9.975779652595520020e-01
3.000000000000000000e+00,4.377743229269981384e-03,7.462585926987230778e-04,5.124001763761043549e-03,0.000000000000000000e+00,5.786946043372154236e-02,1.421746704727411270e-02,1.186798885464668274e-01,4.864410161972045898e-01,1.195200458168983459e-01,9.976900815963745117e-01
4.000000000000000000e+00,2.458034781739115715e-03,5.215661367401480675e-04,2.979600802063941956e-03,0.000000000000000000e+00,5.784631520509719849e-02,1.424470730125904083e-02,1.186205893754959106e-01,4.864627420902252197e-01,1.197938024997711182e-01,9.978536963462829590e-01
5.000000000000000000e+00,1.101903268136084080e-03,4.137009964324533939e-04,1.515604322776198387e-03,0.000000000000000000e+00,5.781517177820205688e-02,1.419941522181034088e-02,1.185788586735725403e-01,4.863902330398559570e-01,1.194674521684646606e-01,9.980990290641784668e-01
6.000000000000000000e+00,7.842622580938041210e-04,3.177588805556297302e-04,1.102021196857094765e-03,0.000000000000000000e+00,5.778224393725395203e-02,1.420523598790168762e-02,1.185370013117790222e-01,4.862908422946929932e-01,1.196291670203208923e-01,9.982574582099914551e-01
7.000000000000000000e+00,7.817318546585738659e-04,2.316368918400257826e-04,1.013368717394769192e-03,0.000000000000000000e+00,5.774756148457527161e-02,1.417517941445112228e-02,1.184919923543930054e-01,4.861761927604675293e-01,1.193918660283088684e-01,9.983457326889038086e-01
8.000000000000000000e+00,8.116322569549083710e-04,1.997561485040932894e-04,1.011388376355171204e-03,0.000000000000000000e+00,5.771111696958541870e-02,1.418134290724992752e-02,1.184428259730339050e-01,4.860493242740631104e-01,1.194409877061843872e-01,9.983817338943481445e-01
9.000000000000000000e+00,7.341636228375136852e-04,1.810538378776982427e-04,9.152174461632966995e-04,0.000000000000000000e+00,5.767513439059257507e-02,1.416741684079170227e-02,1.183932870626449585e-01,4.859286844730377197e-01,1.194732934236526489e-01,9.984061121940612793e-01
1.000000000000000000e+01,5.559938144870102406e-04,1.444546651327982545e-04,7.004484650678932667e-04,0.000000000000000000e+00,5.763982236385345459e-02,1.419959124177694321e-02,1.183422356843948364e-01,4.858143031597137451e-01,1.197964027523994446e-01,9.984071850776672363e-01
1.100000000000000000e+01,3.691693418659269810e-04,1.045942044584080577e-04,4.737635608762502670e-04,0.000000000000000000e+00,5.760569870471954346e-02,1.418091170489788055e-02,1.182922199368476868e-01,4.857078790664672852e-01,1.196886375546455383e-01,9.984008669853210449e-01
1.200000000000000000e+01,2.333966695005074143e-04,7.733431266387924552e-05,3.107309748884290457e-04,0.000000000000000000e+00,5.757370218634605408e-02,1.416402030736207962e-02,1.182476431131362915e-01,4.856152236461639404e-01,1.194253042340278625e-01,9.984185695648193359e-01
1.300000000000000000e+01,1.607463345862925053e-04,6.087938163545913994e-05,2.216257125837728381e-04,0.000000000000000000e+00,5.754381045699119568e-02,1.413814350962638855e-02,1.182062402367591858e-01,4.855338931083679199e-01,1.194189116358757019e-01,9.984380602836608887e-01
1.400000000000000000e+01,1.373469276586547494e-04,4.971399175701662898e-05,1.870609121397137642e-04,0.000000000000000000e+00,5.751555785536766052e-02,1.416891627013683319e-02,1.181674748659133911e-01,4.854591488838195801e-01,1.193740293383598328e-01,9.984530210494995117e-01
1.500000000000000000e+01,1.427929091732949018e-04,4.297199120628647506e-05,1.857649040175601840e-04,0.000000000000000000e+00,5.749028921127319336e-02,1.413241866976022720e-02,1.181304976344108582e-01,4.854013621807098389e-01,1.194222271442413330e-01,9.984568357467651367e-01
1.600000000000000000e+01,1.551178283989429474e-04,4.026015085401013494e-05,1.953779719769954681e-04,0.000000000000000000e+00,5.746816098690032959e-02,1.416043750941753387e-02,1.180956140160560608e-01,4.853615164756774902e-01,1.194324418902397156e-01,9.984533786773681641e-01
1.700000000000000000e+01,1.583378616487607360e-04,3.834442759398370981e-05,1.966822892427444458e-04,0.000000000000000000e+00,5.744865909218788147e-02,1.415419485419988632e-02,1.180626079440116882e-01,4.853354990482330322e-01,1.195320487022399902e-01,9.984425902366638184e-01
1.800000000000000000e+01,1.453590230084955692e-04,3.432142329984344542e-05,1.796804426703602076e-04,0.000000000000000000e+00,5.743213370442390442e-02,1.413583196699619293e-02,1.180557087063789368e-01,4.853262603282928467e-01,1.195568218827247620e-01,9.984203577041625977e-01
1.900000000000000000e+01,1.209453985211439431e-04,2.866897921194322407e-05,1.496143813710659742e-04,0.000000000000000000e+00,5.741837248206138611e-02,1.415661256760358810e-02,1.180474013090133667e-01,4.853322505950927734e-01,1.194112226366996765e-01,9.984015822410583496e-01
2.000000000000000000e+01,9.480785956839099526e-05,2.368248715356457978e-05,1.184903449029661715e-04,0.000000000000000000e+00,5.740647763013839722e-02,1.412656623870134354e-02,1.180394664406776428e-01,4.853461682796478271e-01,1.191878244280815125e-01,9.984536170959472656e-01
2.100000000000000000e+01,7.450849807355552912e-05,2.089374356728512794e-05,9.540223982185125351e-05,0.000000000000000000e+00,5.739637091755867004e-02,1.412466354668140411e-02,1.180311366915702820e-01,4.853674769401550293e-01,1.193573474884033203e-01,9.985347986221313477e-01
2.200000000000000000e+01,6.251344893826171756e-05,2.014451638387981802e-05,8.265796350315213203e-05,0.000000000000000000e+00,5.738769844174385071e-02,1.413847412914037704e-02,1.180241778492927551e-01,4.853934943675994873e-01,1.193705275654792786e-01,9.985927939414978027e-01
2.300000000000000000e+01,5.639149094349704683e-05,1.942724520631600171e-05,7.581873796880245209e-05,0.000000000000000000e+00,5.737977474927902222e-02,1.413843128830194473e-02,1.180165708065032959e-01,4.854185581207275391e-01,1.194346174597740173e-01,9.986463189125061035e-01
2.400000000000000000e+01,5.304469959810376167e-05,1.731023075990378857e-05,7.035493035800755024e-05,0.000000000000000000e+00,5.737301707267761230e-02,1.415534690022468567e-02,1.180099472403526306e-01,4.854463934898376465e-01,1.197286099195480347e-01,9.986961483955383301e-01
2.500000000000000000e+01,5.047296508564613760e-05,1.403087571816286072e-05,6.450383807532489300e-05,0.000000000000000000e+00,5.736685916781425476e-02,1.412622816860675812e-02,1.180050447583198547e-01,4.854727387428283691e-01,1.193561777472496033e-01,9.987412095069885254e-01
2.600000000000000000e+01,4.805471689905971289e-05,1.071179121936438605e-05,5.876650902791880071e-05,0.000000000000000000e+00,5.736129730939865112e-02,1.413778215646743774e-02,1.180009618401527405e-01,4.854978919029235840e-01,1.194647029042243958e-01,9.987841248512268066e-01
2.700000000000000000e+01,4.587636794894933701e-05,8.588521268393378705e-06,5.446489012683741748e-05,0.000000000000000000e+00,5.735640600323677063e-02,1.414359826594591141e-02,1.179945915937423706e-01,4.855230152606964111e-01,1.195710822939872742e-01,9.988196492195129395e-01
2.800000000000000000e+01,4.334723053034394979e-05,8.129802154144272208e-06,5.147703268448822200e-05,0.000000000000000000e+00,5.735217034816741943e-02,1.412609592080116272e-02,1.179905682802200317e-01,4.855480790138244629e-01,1.194464042782783508e-01,9.988456964492797852e-01
2.900000000000000000e+01,3.970671241404488683e-05,8.693285053595900536e-06,4.839999746764078736e-05,0.000000000000000000e+00,5.734859034419059753e-02,1.413454208523035049e-02,1.179860830307006836e-01,4.855739474296569824e-01,1.194811090826988220e-01,9.988679885864257812e-01
3.000000000000000000e+01,3.429458956816233695e-05,9.101246178033761680e-06,4.339583392720669508e-05,0.000000000000000000e+00,5.734597519040107727e-02,1.411129813641309738e-02,1.179824471473693848e-01,4.856034219264984131e-01,1.193617507815361023e-01,9.988967180252075195e-01
3.100000000000000000e+01,2.762367512332275510e-05,8.685751708981115371e-06,3.630942592280916870e-05,0.000000000000000000e+00,5.734343826770782471e-02,1.411112304776906967e-02,1.179797649383544922e-01,4.856296777725219727e-01,1.195208728313446045e-01,9.989144802093505859e-01
3.200000000000000000e+01,2.091589340125210583e-05,7.803924745530821383e-06,2.871981814678292722e-05,0.000000000000000000e+00,5.734149739146232605e-02,1.411981787532567978e-02,1.179747730493545532e-01,4.856570959091186523e-01,1.195035725831985474e-01,9.989274144172668457e-01
3.300000000000000000e+01,1.569653068145271391e-05,7.030467259028228000e-06,2.272699748573359102e-05,0.000000000000000000e+00,5.734005197882652283e-02,1.410148758441209793e-02,1.179715842008590698e-01,4.856852591037750244e-01,1.193282082676887512e-01,9.989364743232727051e-01
3.400000000000000000e+01,1.247475120180752128e-05,6.658426173089537770e-06,1.913317828439176083e-05,0.000000000000000000e+00,5.733841657638549805e-02,1.411541178822517395e-02,1.179696917533874512e-01,4.857085943222045898e-01,1.194601729512214661e-01,9.989506006240844727e-01
3.500000000000000000e+01,1.091446574719157070e-05,6.404538908100221306e-06,1.731900556478649378e-05,0.000000000000000000e+00,5.733764171600341797e-02,1.410212647169828415e-02,1.179690957069396973e-01,4.857361912727355957e-01,1.193608641624450684e-01,9.989595413208007812e-01
