case,status,start_time,end_time,exit_code,output_dir,stdout_log,stderr_log
old_hf_cfno,running,2026-06-13 16:41:26,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\old_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\old_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\old_hf_cfno.err.log
old_hf_cfno,finished,2026-06-13 16:41:26,2026-06-13 16:49:53,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\old_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\old_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\old_hf_cfno.err.log
new_gate_weak,running,2026-06-13 16:49:53,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_weak,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_weak.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_weak.err.log
new_gate_weak,finished,2026-06-13 16:49:53,2026-06-13 16:59:40,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_weak,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_weak.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_weak.err.log
new_gate_stronger,running,2026-06-13 16:59:40,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_stronger,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_stronger.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_stronger.err.log
new_gate_stronger,finished,2026-06-13 16:59:40,2026-06-13 17:09:22,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_stronger,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_stronger.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_stronger.err.log
new_gate_no_align,running,2026-06-13 17:09:22,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_no_align,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_no_align.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_no_align.err.log
new_gate_no_align,finished,2026-06-13 17:09:22,2026-06-13 17:19:11,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_no_align,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_no_align.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_no_align.err.log
new_gate_with_fuse_but_gated,running,2026-06-13 17:19:11,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_with_fuse_but_gated,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_with_fuse_but_gated.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_with_fuse_but_gated.err.log
new_gate_with_fuse_but_gated,finished,2026-06-13 17:19:11,2026-06-13 17:29:09,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\new_gate_with_fuse_but_gated,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_with_fuse_but_gated.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\hf_cfno_gate_ablation_samebaseline\logs\new_gate_with_fuse_but_gated.err.log
