y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-3.764748573303222656e-03,7.812500000000000000e-03,9.946227073669433594e-03
1.562500000000000000e-02,-7.035255432128906250e-03,1.562500000000000000e-02,1.973366737365722656e-02
2.343750000000000000e-02,-1.014602184295654297e-02,2.343750000000000000e-02,2.889430522918701172e-02
3.125000000000000000e-02,-1.312518119812011719e-02,3.125000000000000000e-02,3.743588924407958984e-02
3.906250000000000000e-02,-1.612722873687744141e-02,3.906250000000000000e-02,4.553759098052978516e-02
4.687500000000000000e-02,-1.913535594940185547e-02,4.687500000000000000e-02,5.310606956481933594e-02
5.468750000000000000e-02,-2.199256420135498047e-02,5.468750000000000000e-02,6.027674674987792969e-02
6.250000000000000000e-02,-2.468776702880859375e-02,6.250000000000000000e-02,6.701231002807617188e-02
7.031250000000000000e-02,-2.733731269836425781e-02,7.031250000000000000e-02,7.329845428466796875e-02
7.812500000000000000e-02,-2.987599372863769531e-02,7.812500000000000000e-02,7.912528514862060547e-02
8.593750000000000000e-02,-3.236603736877441406e-02,8.593750000000000000e-02,8.459520339965820312e-02
9.375000000000000000e-02,-3.492689132690429688e-02,9.375000000000000000e-02,8.974301815032958984e-02
1.015625000000000000e-01,-3.745150566101074219e-02,1.015625000000000000e-01,9.454721212387084961e-02
1.093750000000000000e-01,-4.007029533386230469e-02,1.093750000000000000e-01,9.888786077499389648e-02
1.171875000000000000e-01,-4.264330863952636719e-02,1.171875000000000000e-01,1.028991341590881348e-01
1.250000000000000000e-01,-4.519569873809814453e-02,1.250000000000000000e-01,1.066709160804748535e-01
1.328125000000000000e-01,-4.759037494659423828e-02,1.328125000000000000e-01,1.100991964340209961e-01
1.406250000000000000e-01,-5.007946491241455078e-02,1.406250000000000000e-01,1.131919622421264648e-01
1.484375000000000000e-01,-5.259513854980468750e-02,1.484375000000000000e-01,1.160101890563964844e-01
1.562500000000000000e-01,-5.524641275405883789e-02,1.562500000000000000e-01,1.185826063156127930e-01
1.640625000000000000e-01,-5.793118476867675781e-02,1.640625000000000000e-01,1.209145784378051758e-01
1.718750000000000000e-01,-6.064623594284057617e-02,1.718750000000000000e-01,1.229976415634155273e-01
1.796875000000000000e-01,-6.339138746261596680e-02,1.796875000000000000e-01,1.249040365219116211e-01
1.875000000000000000e-01,-6.626927852630615234e-02,1.875000000000000000e-01,1.265584230422973633e-01
1.953125000000000000e-01,-6.936997175216674805e-02,1.953125000000000000e-01,1.279485225677490234e-01
2.031250000000000000e-01,-7.251930236816406250e-02,2.031250000000000000e-01,1.291676759719848633e-01
2.109375000000000000e-01,-7.572376728057861328e-02,2.109375000000000000e-01,1.302415132522583008e-01
2.187500000000000000e-01,-7.915318012237548828e-02,2.187500000000000000e-01,1.311650276184082031e-01
2.265625000000000000e-01,-8.269953727722167969e-02,2.265625000000000000e-01,1.318662166595458984e-01
2.343750000000000000e-01,-8.624172210693359375e-02,2.343750000000000000e-01,1.324205398559570312e-01
2.421875000000000000e-01,-8.977508544921875000e-02,2.421875000000000000e-01,1.328264474868774414e-01
2.500000000000000000e-01,-9.327983856201171875e-02,2.500000000000000000e-01,1.330975294113159180e-01
2.578125000000000000e-01,-9.690535068511962891e-02,2.578125000000000000e-01,1.332259178161621094e-01
2.656250000000000000e-01,-1.006183624267578125e-01,2.656250000000000000e-01,1.331584453582763672e-01
2.734375000000000000e-01,-1.044312715530395508e-01,2.734375000000000000e-01,1.329030990600585938e-01
2.812500000000000000e-01,-1.082990169525146484e-01,2.812500000000000000e-01,1.324710845947265625e-01
2.890625000000000000e-01,-1.121289730072021484e-01,2.890625000000000000e-01,1.318407058715820312e-01
2.968750000000000000e-01,-1.161279678344726562e-01,2.968750000000000000e-01,1.311678886413574219e-01
3.046875000000000000e-01,-1.201717853546142578e-01,3.046875000000000000e-01,1.304223537445068359e-01
3.125000000000000000e-01,-1.243270635604858398e-01,3.125000000000000000e-01,1.294989585876464844e-01
3.203125000000000000e-01,-1.285399198532104492e-01,3.203125000000000000e-01,1.283824443817138672e-01
3.281250000000000000e-01,-1.327174901962280273e-01,3.281250000000000000e-01,1.270136833190917969e-01
3.359375000000000000e-01,-1.370842456817626953e-01,3.359375000000000000e-01,1.255171298980712891e-01
3.437500000000000000e-01,-1.413599252700805664e-01,3.437500000000000000e-01,1.239571571350097656e-01
3.515625000000000000e-01,-1.455422639846801758e-01,3.515625000000000000e-01,1.222028732299804688e-01
3.593750000000000000e-01,-1.497558355331420898e-01,3.593750000000000000e-01,1.203246116638183594e-01
3.671875000000000000e-01,-1.539630889892578125e-01,3.671875000000000000e-01,1.182818412780761719e-01
3.750000000000000000e-01,-1.580996513366699219e-01,3.750000000000000000e-01,1.160440444946289062e-01
3.828125000000000000e-01,-1.621031761169433594e-01,3.828125000000000000e-01,1.135721206665039062e-01
3.906250000000000000e-01,-1.660900115966796875e-01,3.906250000000000000e-01,1.109466552734375000e-01
3.984375000000000000e-01,-1.699197292327880859e-01,3.984375000000000000e-01,1.081290245056152344e-01
4.062500000000000000e-01,-1.735851764678955078e-01,4.062500000000000000e-01,1.051373481750488281e-01
4.140625000000000000e-01,-1.772065162658691406e-01,4.140625000000000000e-01,1.020085811614990234e-01
4.218750000000000000e-01,-1.805891990661621094e-01,4.218750000000000000e-01,9.869670867919921875e-02
4.296875000000000000e-01,-1.838173866271972656e-01,4.296875000000000000e-01,9.508442878723144531e-02
4.375000000000000000e-01,-1.870596408843994141e-01,4.375000000000000000e-01,9.131717681884765625e-02
4.453125000000000000e-01,-1.902444362640380859e-01,4.453125000000000000e-01,8.738231658935546875e-02
4.531250000000000000e-01,-1.931595802307128906e-01,4.531250000000000000e-01,8.323216438293457031e-02
4.609375000000000000e-01,-1.958324909210205078e-01,4.609375000000000000e-01,7.889556884765625000e-02
4.687500000000000000e-01,-1.983819007873535156e-01,4.687500000000000000e-01,7.430315017700195312e-02
4.765625000000000000e-01,-2.005929946899414062e-01,4.765625000000000000e-01,6.950569152832031250e-02
4.843750000000000000e-01,-2.024335861206054688e-01,4.843750000000000000e-01,6.447482109069824219e-02
4.921875000000000000e-01,-2.039308547973632812e-01,4.921875000000000000e-01,5.929279327392578125e-02
5.000000000000000000e-01,-2.051010131835937500e-01,5.000000000000000000e-01,5.391740798950195312e-02
5.078125000000000000e-01,-2.058806419372558594e-01,5.078125000000000000e-01,4.826617240905761719e-02
5.156250000000000000e-01,-2.062206268310546875e-01,5.156250000000000000e-01,4.239654541015625000e-02
5.234375000000000000e-01,-2.062330245971679688e-01,5.234375000000000000e-01,3.629469871520996094e-02
5.312500000000000000e-01,-2.057948112487792969e-01,5.312500000000000000e-01,3.004217147827148438e-02
5.390625000000000000e-01,-2.048892974853515625e-01,5.390625000000000000e-01,2.357769012451171875e-02
5.468750000000000000e-01,-2.036252021789550781e-01,5.468750000000000000e-01,1.687192916870117188e-02
5.546875000000000000e-01,-2.019505500793457031e-01,5.546875000000000000e-01,1.007032394409179688e-02
5.625000000000000000e-01,-1.998028755187988281e-01,5.625000000000000000e-01,3.042221069335937500e-03
5.703125000000000000e-01,-1.973533630371093750e-01,5.703125000000000000e-01,-4.170894622802734375e-03
5.781250000000000000e-01,-1.945858001708984375e-01,5.781250000000000000e-01,-1.151180267333984375e-02
5.859375000000000000e-01,-1.912918090820312500e-01,5.859375000000000000e-01,-1.904344558715820312e-02
5.937500000000000000e-01,-1.874370574951171875e-01,5.937500000000000000e-01,-2.665519714355468750e-02
6.015625000000000000e-01,-1.830406188964843750e-01,6.015625000000000000e-01,-3.445434570312500000e-02
6.093750000000000000e-01,-1.781678199768066406e-01,6.093750000000000000e-01,-4.234123229980468750e-02
6.171875000000000000e-01,-1.728639602661132812e-01,6.171875000000000000e-01,-5.021786689758300781e-02
6.250000000000000000e-01,-1.671152114868164062e-01,6.250000000000000000e-01,-5.825710296630859375e-02
6.328125000000000000e-01,-1.609330177307128906e-01,6.328125000000000000e-01,-6.641888618469238281e-02
6.406250000000000000e-01,-1.543564796447753906e-01,6.406250000000000000e-01,-7.458066940307617188e-02
6.484375000000000000e-01,-1.473560333251953125e-01,6.484375000000000000e-01,-8.275413513183593750e-02
6.562500000000000000e-01,-1.398711204528808594e-01,6.562500000000000000e-01,-9.093642234802246094e-02
6.640625000000000000e-01,-1.320447921752929688e-01,6.640625000000000000e-01,-9.899425506591796875e-02
6.718750000000000000e-01,-1.237173080444335938e-01,6.718750000000000000e-01,-1.069862842559814453e-01
6.796875000000000000e-01,-1.149635314941406250e-01,6.796875000000000000e-01,-1.149053573608398438e-01
6.875000000000000000e-01,-1.058502197265625000e-01,6.875000000000000000e-01,-1.227304935455322266e-01
6.953125000000000000e-01,-9.644603729248046875e-02,6.953125000000000000e-01,-1.303386688232421875e-01
7.031250000000000000e-01,-8.672189712524414062e-02,7.031250000000000000e-01,-1.376259326934814453e-01
7.109375000000000000e-01,-7.667732238769531250e-02,7.109375000000000000e-01,-1.447043418884277344e-01
7.187500000000000000e-01,-6.631898880004882812e-02,7.187500000000000000e-01,-1.515285968780517578e-01
7.265625000000000000e-01,-5.555391311645507812e-02,7.265625000000000000e-01,-1.580061912536621094e-01
7.343750000000000000e-01,-4.420614242553710938e-02,7.343750000000000000e-01,-1.641104221343994141e-01
7.421875000000000000e-01,-3.238391876220703125e-02,7.421875000000000000e-01,-1.698541641235351562e-01
7.500000000000000000e-01,-2.015304565429687500e-02,7.500000000000000000e-01,-1.750750541687011719e-01
7.578125000000000000e-01,-7.389545440673828125e-03,7.578125000000000000e-01,-1.798589229583740234e-01
7.656250000000000000e-01,5.781650543212890625e-03,7.656250000000000000e-01,-1.841449737548828125e-01
7.734375000000000000e-01,1.959991455078125000e-02,7.734375000000000000e-01,-1.877474784851074219e-01
7.812500000000000000e-01,3.387784957885742188e-02,7.812500000000000000e-01,-1.907956600189208984e-01
7.890625000000000000e-01,4.883956909179687500e-02,7.890625000000000000e-01,-1.931657791137695312e-01
7.968750000000000000e-01,6.445837020874023438e-02,7.968750000000000000e-01,-1.949098110198974609e-01
8.046875000000000000e-01,8.089923858642578125e-02,8.046875000000000000e-01,-1.959596872329711914e-01
8.125000000000000000e-01,9.817314147949218750e-02,8.125000000000000000e-01,-1.962174177169799805e-01
8.203125000000000000e-01,1.162486076354980469e-01,8.203125000000000000e-01,-1.955931186676025391e-01
8.281250000000000000e-01,1.353464126586914062e-01,8.281250000000000000e-01,-1.941156387329101562e-01
8.359375000000000000e-01,1.555166244506835938e-01,8.359375000000000000e-01,-1.919289827346801758e-01
8.437500000000000000e-01,1.769833564758300781e-01,8.437500000000000000e-01,-1.888917684555053711e-01
8.515625000000000000e-01,1.998653411865234375e-01,8.515625000000000000e-01,-1.850365400314331055e-01
8.593750000000000000e-01,2.242283821105957031e-01,8.593750000000000000e-01,-1.804509162902832031e-01
8.671875000000000000e-01,2.502408027648925781e-01,8.671875000000000000e-01,-1.750046014785766602e-01
8.750000000000000000e-01,2.780289649963378906e-01,8.750000000000000000e-01,-1.687194108963012695e-01
8.828125000000000000e-01,3.076314926147460938e-01,8.828125000000000000e-01,-1.617321968078613281e-01
8.906250000000000000e-01,3.392667770385742188e-01,8.906250000000000000e-01,-1.539951562881469727e-01
8.984375000000000000e-01,3.728842735290527344e-01,8.984375000000000000e-01,-1.456131935119628906e-01
9.062500000000000000e-01,4.087271690368652344e-01,9.062500000000000000e-01,-1.366021633148193359e-01
9.140625000000000000e-01,4.469203948974609375e-01,9.140625000000000000e-01,-1.269686222076416016e-01
9.218750000000000000e-01,4.874448776245117188e-01,9.218750000000000000e-01,-1.167805194854736328e-01
9.296875000000000000e-01,5.303456783294677734e-01,9.296875000000000000e-01,-1.060870885848999023e-01
9.375000000000000000e-01,5.753808021545410156e-01,9.375000000000000000e-01,-9.498763084411621094e-02
9.453125000000000000e-01,6.225984096527099609e-01,9.453125000000000000e-01,-8.353579044342041016e-02
9.531250000000000000e-01,6.714994907379150391e-01,9.531250000000000000e-01,-7.176446914672851562e-02
9.609375000000000000e-01,7.222909927368164062e-01,9.609375000000000000e-01,-5.977761745452880859e-02
9.687500000000000000e-01,7.742247581481933594e-01,9.687500000000000000e-01,-4.769480228424072266e-02
9.765625000000000000e-01,8.270993232727050781e-01,9.765625000000000000e-01,-3.558993339538574219e-02
9.843750000000000000e-01,8.802765607833862305e-01,9.843750000000000000e-01,-2.360141277313232422e-02
9.921875000000000000e-01,9.340046644210815430e-01,9.921875000000000000e-01,-1.174592971801757812e-02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
