y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-2.993583679199218750e-03,7.812500000000000000e-03,1.064777374267578125e-02
1.562500000000000000e-02,-6.754875183105468750e-03,1.562500000000000000e-02,2.091217041015625000e-02
2.343750000000000000e-02,-1.064968109130859375e-02,2.343750000000000000e-02,3.099632263183593750e-02
3.125000000000000000e-02,-1.412868499755859375e-02,3.125000000000000000e-02,4.055023193359375000e-02
3.906250000000000000e-02,-1.701450347900390625e-02,3.906250000000000000e-02,4.973697662353515625e-02
4.687500000000000000e-02,-1.971244812011718750e-02,4.687500000000000000e-02,5.835819244384765625e-02
5.468750000000000000e-02,-2.229118347167968750e-02,5.468750000000000000e-02,6.651401519775390625e-02
6.250000000000000000e-02,-2.495479583740234375e-02,6.250000000000000000e-02,7.404804229736328125e-02
7.031250000000000000e-02,-2.772140502929687500e-02,7.031250000000000000e-02,8.110427856445312500e-02
7.812500000000000000e-02,-3.065013885498046875e-02,7.812500000000000000e-02,8.769226074218750000e-02
8.593750000000000000e-02,-3.377532958984375000e-02,8.593750000000000000e-02,9.379577636718750000e-02
9.375000000000000000e-02,-3.714466094970703125e-02,9.375000000000000000e-02,9.942722320556640625e-02
1.015625000000000000e-01,-4.056453704833984375e-02,1.015625000000000000e-01,1.046972274780273438e-01
1.093750000000000000e-01,-4.393196105957031250e-02,1.093750000000000000e-01,1.095962524414062500e-01
1.171875000000000000e-01,-4.727840423583984375e-02,1.171875000000000000e-01,1.141948699951171875e-01
1.250000000000000000e-01,-5.071926116943359375e-02,1.250000000000000000e-01,1.184444427490234375e-01
1.328125000000000000e-01,-5.400562286376953125e-02,1.328125000000000000e-01,1.223306655883789062e-01
1.406250000000000000e-01,-5.731105804443359375e-02,1.406250000000000000e-01,1.258869171142578125e-01
1.484375000000000000e-01,-6.058979034423828125e-02,1.484375000000000000e-01,1.291074752807617188e-01
1.562500000000000000e-01,-6.363964080810546875e-02,1.562500000000000000e-01,1.320514678955078125e-01
1.640625000000000000e-01,-6.666183471679687500e-02,1.640625000000000000e-01,1.347565650939941406e-01
1.718750000000000000e-01,-6.983375549316406250e-02,1.718750000000000000e-01,1.371417045593261719e-01
1.796875000000000000e-01,-7.300853729248046875e-02,1.796875000000000000e-01,1.393013000488281250e-01
1.875000000000000000e-01,-7.631492614746093750e-02,1.875000000000000000e-01,1.411666870117187500e-01
1.953125000000000000e-01,-7.968807220458984375e-02,1.953125000000000000e-01,1.427989006042480469e-01
2.031250000000000000e-01,-8.308506011962890625e-02,2.031250000000000000e-01,1.441855430603027344e-01
2.109375000000000000e-01,-8.667945861816406250e-02,2.109375000000000000e-01,1.453051567077636719e-01
2.187500000000000000e-01,-9.030818939208984375e-02,2.187500000000000000e-01,1.463217735290527344e-01
2.265625000000000000e-01,-9.388542175292968750e-02,2.265625000000000000e-01,1.471009254455566406e-01
2.343750000000000000e-01,-9.748554229736328125e-02,2.343750000000000000e-01,1.476287841796875000e-01
2.421875000000000000e-01,-1.012573242187500000e-01,2.421875000000000000e-01,1.480050086975097656e-01
2.500000000000000000e-01,-1.052198410034179688e-01,2.500000000000000000e-01,1.481842994689941406e-01
2.578125000000000000e-01,-1.093869209289550781e-01,2.578125000000000000e-01,1.481227874755859375e-01
2.656250000000000000e-01,-1.136922836303710938e-01,2.656250000000000000e-01,1.478524208068847656e-01
2.734375000000000000e-01,-1.181545257568359375e-01,2.734375000000000000e-01,1.474456787109375000e-01
2.812500000000000000e-01,-1.227149963378906250e-01,2.812500000000000000e-01,1.468644142150878906e-01
2.890625000000000000e-01,-1.273899078369140625e-01,2.890625000000000000e-01,1.460371017456054688e-01
2.968750000000000000e-01,-1.320519447326660156e-01,2.968750000000000000e-01,1.451797485351562500e-01
3.046875000000000000e-01,-1.366839408874511719e-01,3.046875000000000000e-01,1.442093849182128906e-01
3.125000000000000000e-01,-1.412205696105957031e-01,3.125000000000000000e-01,1.429595947265625000e-01
3.203125000000000000e-01,-1.455922126770019531e-01,3.203125000000000000e-01,1.416449546813964844e-01
3.281250000000000000e-01,-1.500449180603027344e-01,3.281250000000000000e-01,1.401581764221191406e-01
3.359375000000000000e-01,-1.545619964599609375e-01,3.359375000000000000e-01,1.383719444274902344e-01
3.437500000000000000e-01,-1.590695381164550781e-01,3.437500000000000000e-01,1.364693641662597656e-01
3.515625000000000000e-01,-1.635656356811523438e-01,3.515625000000000000e-01,1.345081329345703125e-01
3.593750000000000000e-01,-1.679520606994628906e-01,3.593750000000000000e-01,1.322765350341796875e-01
3.671875000000000000e-01,-1.723146438598632812e-01,3.671875000000000000e-01,1.297440528869628906e-01
3.750000000000000000e-01,-1.764974594116210938e-01,3.750000000000000000e-01,1.270933151245117188e-01
3.828125000000000000e-01,-1.805682182312011719e-01,3.828125000000000000e-01,1.241507530212402344e-01
3.906250000000000000e-01,-1.845955848693847656e-01,3.906250000000000000e-01,1.209745407104492188e-01
3.984375000000000000e-01,-1.885647773742675781e-01,3.984375000000000000e-01,1.176500320434570312e-01
4.062500000000000000e-01,-1.923890113830566406e-01,4.062500000000000000e-01,1.140403747558593750e-01
4.140625000000000000e-01,-1.961216926574707031e-01,4.140625000000000000e-01,1.102461814880371094e-01
4.218750000000000000e-01,-1.995978355407714844e-01,4.218750000000000000e-01,1.062421798706054688e-01
4.296875000000000000e-01,-2.028260231018066406e-01,4.296875000000000000e-01,1.020212173461914062e-01
4.375000000000000000e-01,-2.057838439941406250e-01,4.375000000000000000e-01,9.762668609619140625e-02
4.453125000000000000e-01,-2.084116935729980469e-01,4.453125000000000000e-01,9.309720993041992188e-02
4.531250000000000000e-01,-2.106790542602539062e-01,4.531250000000000000e-01,8.838462829589843750e-02
4.609375000000000000e-01,-2.125864028930664062e-01,4.609375000000000000e-01,8.345222473144531250e-02
4.687500000000000000e-01,-2.141118049621582031e-01,4.687500000000000000e-01,7.836437225341796875e-02
4.765625000000000000e-01,-2.151279449462890625e-01,4.765625000000000000e-01,7.304859161376953125e-02
4.843750000000000000e-01,-2.159285545349121094e-01,4.843750000000000000e-01,6.749725341796875000e-02
4.921875000000000000e-01,-2.163105010986328125e-01,4.921875000000000000e-01,6.169319152832031250e-02
5.000000000000000000e-01,-2.161931991577148438e-01,5.000000000000000000e-01,5.555629730224609375e-02
5.078125000000000000e-01,-2.158589363098144531e-01,5.078125000000000000e-01,4.928874969482421875e-02
5.156250000000000000e-01,-2.151861190795898438e-01,5.156250000000000000e-01,4.288864135742187500e-02
5.234375000000000000e-01,-2.142667770385742188e-01,5.234375000000000000e-01,3.626728057861328125e-02
5.312500000000000000e-01,-2.132115364074707031e-01,5.312500000000000000e-01,2.936458587646484375e-02
5.390625000000000000e-01,-2.118358612060546875e-01,5.390625000000000000e-01,2.218151092529296875e-02
5.468750000000000000e-01,-2.101054191589355469e-01,5.468750000000000000e-01,1.481914520263671875e-02
5.546875000000000000e-01,-2.080302238464355469e-01,5.546875000000000000e-01,7.287979125976562500e-03
5.625000000000000000e-01,-2.054519653320312500e-01,5.625000000000000000e-01,-3.705024719238281250e-04
5.703125000000000000e-01,-2.023115158081054688e-01,5.703125000000000000e-01,-8.301258087158203125e-03
5.781250000000000000e-01,-1.986579895019531250e-01,5.781250000000000000e-01,-1.637268066406250000e-02
5.859375000000000000e-01,-1.944379806518554688e-01,5.859375000000000000e-01,-2.448129653930664062e-02
5.937500000000000000e-01,-1.898965835571289062e-01,5.937500000000000000e-01,-3.279733657836914062e-02
6.015625000000000000e-01,-1.850144863128662109e-01,6.015625000000000000e-01,-4.119491577148437500e-02
6.093750000000000000e-01,-1.796717643737792969e-01,6.093750000000000000e-01,-4.970216751098632812e-02
6.171875000000000000e-01,-1.738710403442382812e-01,6.171875000000000000e-01,-5.840063095092773438e-02
6.250000000000000000e-01,-1.674497127532958984e-01,6.250000000000000000e-01,-6.715726852416992188e-02
6.328125000000000000e-01,-1.603839397430419922e-01,6.328125000000000000e-01,-7.607126235961914062e-02
6.406250000000000000e-01,-1.528947353363037109e-01,6.406250000000000000e-01,-8.496952056884765625e-02
6.484375000000000000e-01,-1.450080871582031250e-01,6.484375000000000000e-01,-9.366607666015625000e-02
6.562500000000000000e-01,-1.367564201354980469e-01,6.562500000000000000e-01,-1.023445129394531250e-01
6.640625000000000000e-01,-1.283535957336425781e-01,6.640625000000000000e-01,-1.109714508056640625e-01
6.718750000000000000e-01,-1.196393966674804688e-01,6.718750000000000000e-01,-1.194496154785156250e-01
6.796875000000000000e-01,-1.107015609741210938e-01,6.796875000000000000e-01,-1.279163360595703125e-01
6.875000000000000000e-01,-1.013550758361816406e-01,6.875000000000000000e-01,-1.362090110778808594e-01
6.953125000000000000e-01,-9.150123596191406250e-02,6.953125000000000000e-01,-1.443219184875488281e-01
7.031250000000000000e-01,-8.111667633056640625e-02,7.031250000000000000e-01,-1.521892547607421875e-01
7.109375000000000000e-01,-7.030773162841796875e-02,7.109375000000000000e-01,-1.598134040832519531e-01
7.187500000000000000e-01,-5.906057357788085938e-02,7.187500000000000000e-01,-1.672797203063964844e-01
7.265625000000000000e-01,-4.735994338989257812e-02,7.265625000000000000e-01,-1.743125915527343750e-01
7.343750000000000000e-01,-3.520584106445312500e-02,7.343750000000000000e-01,-1.808366775512695312e-01
7.421875000000000000e-01,-2.274990081787109375e-02,7.421875000000000000e-01,-1.869316101074218750e-01
7.500000000000000000e-01,-1.001739501953125000e-02,7.500000000000000000e-01,-1.926116943359375000e-01
7.578125000000000000e-01,3.360748291015625000e-03,7.578125000000000000e-01,-1.978464126586914062e-01
7.656250000000000000e-01,1.731920242309570312e-02,7.656250000000000000e-01,-2.024574279785156250e-01
