iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,5.657910183072090149e-02,5.043935546875000000e+02,5.044540710449218750e+02,7.892467826604843140e-02,1.310979425907135010e-01,3.220088779926300049e-02,2.681442201137542725e-01,4.874590635299682617e-01,1.197319775819778442e-01,9.970357418060302734e-01
1.000000000000000000e+00,2.140899188816547394e-03,2.140704345703125000e+02,2.140781250000000000e+02,1.109469532966613770e-01,1.309723556041717529e-01,3.210355341434478760e-02,2.679935097694396973e-01,4.870613217353820801e-01,1.192828565835952759e-01,9.957472681999206543e-01
2.000000000000000000e+00,4.185553267598152161e-02,2.584780273437500000e+02,2.585241088867187500e+02,8.451948314905166626e-02,1.307514458894729614e-01,3.205146268010139465e-02,2.675018310546875000e-01,4.862653017044067383e-01,1.190024465322494507e-01,9.961037635803222656e-01
3.000000000000000000e+00,5.632087588310241699e-02,2.387838592529296875e+02,2.388445587158203125e+02,8.754608780145645142e-02,1.305357962846755981e-01,3.206787630915641785e-02,2.675778865814208984e-01,4.857111275196075439e-01,1.191018745303153992e-01,9.961056113243103027e-01
4.000000000000000000e+00,4.070684313774108887e-02,2.095404510498046875e+02,2.095852966308593750e+02,8.283735066652297974e-02,1.302832663059234619e-01,3.208504617214202881e-02,2.678836584091186523e-01,4.850511550903320312e-01,1.192167326807975769e-01,9.955976605415344238e-01
5.000000000000000000e+00,2.478265762329101562e-02,1.917244110107421875e+02,1.917531890869140625e+02,8.006348460912704468e-02,1.300731897354125977e-01,3.195894882082939148e-02,2.680698931217193604e-01,4.844862818717956543e-01,1.188383772969245911e-01,9.968097805976867676e-01
6.000000000000000000e+00,2.147559449076652527e-02,1.764819335937500000e+02,1.765076141357421875e+02,8.423251658678054810e-02,1.299637258052825928e-01,3.194886073470115662e-02,2.681028246879577637e-01,4.842159450054168701e-01,1.189097091555595398e-01,9.975249171257019043e-01
7.000000000000000000e+00,4.126136749982833862e-02,1.650552520751953125e+02,1.651008605957031250e+02,8.702796697616577148e-02,1.298779845237731934e-01,3.194088488817214966e-02,2.680425643920898438e-01,4.839752614498138428e-01,1.189144253730773926e-01,9.979099631309509277e-01
8.000000000000000000e+00,8.137543499469757080e-02,1.537515563964843750e+02,1.538372955322265625e+02,8.723143488168716431e-02,1.298195421695709229e-01,3.191157430410385132e-02,2.679254710674285889e-01,4.838055372238159180e-01,1.188822016119956970e-01,9.981196522712707520e-01
9.000000000000000000e+00,1.303634047508239746e-01,1.379410095214843750e+02,1.380755920410156250e+02,8.444976061582565308e-02,1.298515051603317261e-01,3.198427706956863403e-02,2.677424550056457520e-01,4.839520454406738281e-01,1.191288977861404419e-01,9.980924725532531738e-01
