y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-5.369901657104492188e-03,7.812500000000000000e-03,9.298324584960937500e-03
1.562500000000000000e-02,-6.683826446533203125e-03,1.562500000000000000e-02,1.888036727905273438e-02
2.343750000000000000e-02,-8.618593215942382812e-03,2.343750000000000000e-02,2.774047851562500000e-02
3.125000000000000000e-02,-1.117014884948730469e-02,3.125000000000000000e-02,3.589081764221191406e-02
3.906250000000000000e-02,-1.437425613403320312e-02,3.906250000000000000e-02,4.383563995361328125e-02
4.687500000000000000e-02,-1.784682273864746094e-02,4.687500000000000000e-02,5.132842063903808594e-02
5.468750000000000000e-02,-2.106142044067382812e-02,5.468750000000000000e-02,5.835342407226562500e-02
6.250000000000000000e-02,-2.396726608276367188e-02,6.250000000000000000e-02,6.509160995483398438e-02
7.031250000000000000e-02,-2.634882926940917969e-02,7.031250000000000000e-02,7.166767120361328125e-02
7.812500000000000000e-02,-2.857685089111328125e-02,7.812500000000000000e-02,7.798480987548828125e-02
8.593750000000000000e-02,-3.052020072937011719e-02,8.593750000000000000e-02,8.407068252563476562e-02
9.375000000000000000e-02,-3.244781494140625000e-02,9.375000000000000000e-02,8.981418609619140625e-02
1.015625000000000000e-01,-3.447818756103515625e-02,1.015625000000000000e-01,9.496140480041503906e-02
1.093750000000000000e-01,-3.716897964477539062e-02,1.093750000000000000e-01,9.954929351806640625e-02
1.171875000000000000e-01,-4.029250144958496094e-02,1.171875000000000000e-01,1.036734580993652344e-01
1.250000000000000000e-01,-4.308176040649414062e-02,1.250000000000000000e-01,1.074523925781250000e-01
1.328125000000000000e-01,-4.556298255920410156e-02,1.328125000000000000e-01,1.109256744384765625e-01
1.406250000000000000e-01,-4.796648025512695312e-02,1.406250000000000000e-01,1.139681339263916016e-01
1.484375000000000000e-01,-5.037784576416015625e-02,1.484375000000000000e-01,1.167573928833007812e-01
1.562500000000000000e-01,-5.292987823486328125e-02,1.562500000000000000e-01,1.195650100708007812e-01
1.640625000000000000e-01,-5.567121505737304688e-02,1.640625000000000000e-01,1.220531463623046875e-01
1.718750000000000000e-01,-5.829048156738281250e-02,1.718750000000000000e-01,1.242547035217285156e-01
1.796875000000000000e-01,-6.092453002929687500e-02,1.796875000000000000e-01,1.262285709381103516e-01
1.875000000000000000e-01,-6.385374069213867188e-02,1.875000000000000000e-01,1.278388500213623047e-01
1.953125000000000000e-01,-6.710004806518554688e-02,1.953125000000000000e-01,1.291232109069824219e-01
2.031250000000000000e-01,-7.073688507080078125e-02,2.031250000000000000e-01,1.302320957183837891e-01
2.109375000000000000e-01,-7.502746582031250000e-02,2.109375000000000000e-01,1.312210559844970703e-01
2.187500000000000000e-01,-7.912850379943847656e-02,2.187500000000000000e-01,1.320188045501708984e-01
2.265625000000000000e-01,-8.300733566284179688e-02,2.265625000000000000e-01,1.325860023498535156e-01
2.343750000000000000e-01,-8.669686317443847656e-02,2.343750000000000000e-01,1.330771446228027344e-01
2.421875000000000000e-01,-9.016799926757812500e-02,2.421875000000000000e-01,1.333639621734619141e-01
2.500000000000000000e-01,-9.378170967102050781e-02,2.500000000000000000e-01,1.332230567932128906e-01
2.578125000000000000e-01,-9.728121757507324219e-02,2.578125000000000000e-01,1.330971717834472656e-01
2.656250000000000000e-01,-1.009600162506103516e-01,2.656250000000000000e-01,1.328537464141845703e-01
2.734375000000000000e-01,-1.048538684844970703e-01,2.734375000000000000e-01,1.322371959686279297e-01
2.812500000000000000e-01,-1.088109016418457031e-01,2.812500000000000000e-01,1.317290067672729492e-01
2.890625000000000000e-01,-1.128277778625488281e-01,2.890625000000000000e-01,1.311535835266113281e-01
