iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.035744696855545044e-02,2.472990722656250000e+02,2.473102569580078125e+02,8.195029199123382568e-02,5.798959359526634216e-02,1.423368230462074280e-02,1.190216615796089172e-01,4.864779710769653320e-01,1.194071620702743530e-01,9.984794259071350098e-01
1.000000000000000000e+00,1.154112280346453190e-03,2.118687438964843750e+02,2.118712768554687500e+02,1.373161524534225464e-01,5.791409313678741455e-02,1.424548868089914322e-02,1.188849434256553650e-01,4.859268069267272949e-01,1.194010153412818909e-01,9.982112646102905273e-01
2.000000000000000000e+00,6.273309234529733658e-03,2.097297058105468750e+02,2.097369842529296875e+02,1.001849621534347534e-01,5.788645520806312561e-02,1.426757872104644775e-02,1.187228560447692871e-01,4.857063293457031250e-01,1.195051819086074829e-01,9.971035122871398926e-01
3.000000000000000000e+00,8.252382278442382812e-03,2.015390472412109375e+02,2.015482788085937500e+02,9.705290943384170532e-02,5.788297951221466064e-02,1.424268539994955063e-02,1.184505149722099304e-01,4.857816398143768311e-01,1.192991435527801514e-01,9.957485795021057129e-01
4.000000000000000000e+00,9.103000164031982422e-03,1.915593719482421875e+02,1.915694427490234375e+02,9.565659612417221069e-02,5.792166665196418762e-02,1.420451514422893524e-02,1.185822635889053345e-01,4.861782491207122803e-01,1.190367564558982849e-01,9.957335591316223145e-01
5.000000000000000000e+00,1.578739844262599945e-02,1.823894500732421875e+02,1.824061737060546875e+02,9.294801950454711914e-02,5.792868882417678833e-02,1.420979946851730347e-02,1.186100244522094727e-01,4.862856566905975342e-01,1.192372292280197144e-01,9.958118200302124023e-01
6.000000000000000000e+00,3.204164281487464905e-02,1.719434356689453125e+02,1.719763946533203125e+02,9.084495902061462402e-02,5.791139975190162659e-02,1.419993396848440170e-02,1.185636445879936218e-01,4.861648380756378174e-01,1.191514655947685242e-01,9.960964322090148926e-01
7.000000000000000000e+00,5.768134444952011108e-02,1.589459381103515625e+02,1.590045166015625000e+02,9.031675755977630615e-02,5.789370834827423096e-02,1.419709343463182449e-02,1.184671148657798767e-01,4.860191345214843750e-01,1.192125007510185242e-01,9.964685440063476562e-01
8.000000000000000000e+00,9.234160929918289185e-02,1.428385925292968750e+02,1.429318389892578125e+02,9.036819636821746826e-02,5.788627266883850098e-02,1.417009346187114716e-02,1.183705404400825500e-01,4.859429597854614258e-01,1.189802214503288269e-01,9.968190193176269531e-01
9.000000000000000000e+00,1.380781233310699463e-01,1.232912445068359375e+02,1.234302139282226562e+02,8.939645439386367798e-02,5.789403617382049561e-02,1.414562109857797623e-02,1.182711347937583923e-01,4.859787225723266602e-01,1.189437508583068848e-01,9.970675110816955566e-01
1.000000000000000000e+01,1.999559551477432251e-01,1.004673995971679688e+02,1.006682434082031250e+02,8.844918012619018555e-02,5.792362987995147705e-02,1.408226974308490753e-02,1.182336062192916870e-01,4.861763119697570801e-01,1.183986142277717590e-01,9.971932768821716309e-01
1.100000000000000000e+01,2.891405522823333740e-01,7.554451751708984375e+01,7.583454132080078125e+01,8.841642737388610840e-02,5.797566473484039307e-02,1.407155301421880722e-02,1.182263121008872986e-01,4.865339100360870361e-01,1.182233244180679321e-01,9.972046017646789551e-01
1.200000000000000000e+01,4.275046885013580322e-01,5.180371475219726562e+01,5.223210906982421875e+01,8.894961327314376831e-02,5.804096534848213196e-02,1.406667474657297134e-02,1.182221025228500366e-01,4.869695901870727539e-01,1.179387792944908142e-01,9.971027970314025879e-01
1.300000000000000000e+01,6.423738002777099609e-01,3.591159439086914062e+01,3.655485916137695312e+01,8.922666311264038086e-02,5.811316147446632385e-02,1.408832333981990814e-02,1.182229667901992798e-01,4.874268472194671631e-01,1.175802648067474365e-01,9.969019889831542969e-01
1.400000000000000000e+01,8.566232919692993164e-01,3.471657180786132812e+01,3.557406234741210938e+01,8.663121610879898071e-02,5.817556008696556091e-02,1.409497950226068497e-02,1.182215586304664612e-01,4.878268539905548096e-01,1.174220666289329529e-01,9.966183900833129883e-01
