y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-5.056858062744140625e-03,7.812500000000000000e-03,1.014947891235351562e-02
1.562500000000000000e-02,-1.013088226318359375e-02,1.562500000000000000e-02,1.990032196044921875e-02
2.343750000000000000e-02,-1.462554931640625000e-02,2.343750000000000000e-02,2.895879745483398438e-02
3.125000000000000000e-02,-1.908016204833984375e-02,3.125000000000000000e-02,3.758144378662109375e-02
3.906250000000000000e-02,-2.353811264038085938e-02,3.906250000000000000e-02,4.557514190673828125e-02
4.687500000000000000e-02,-2.799510955810546875e-02,4.687500000000000000e-02,5.313301086425781250e-02
5.468750000000000000e-02,-3.218364715576171875e-02,5.468750000000000000e-02,6.022548675537109375e-02
6.250000000000000000e-02,-3.643703460693359375e-02,6.250000000000000000e-02,6.687498092651367188e-02
7.031250000000000000e-02,-4.038000106811523438e-02,7.031250000000000000e-02,7.308006286621093750e-02
7.812500000000000000e-02,-4.403018951416015625e-02,7.812500000000000000e-02,7.881879806518554688e-02
8.593750000000000000e-02,-4.713439941406250000e-02,8.593750000000000000e-02,8.407306671142578125e-02
9.375000000000000000e-02,-5.017375946044921875e-02,9.375000000000000000e-02,8.894586563110351562e-02
1.015625000000000000e-01,-5.307006835937500000e-02,1.015625000000000000e-01,9.344339370727539062e-02
1.093750000000000000e-01,-5.616521835327148438e-02,1.093750000000000000e-01,9.753751754760742188e-02
1.171875000000000000e-01,-5.902099609375000000e-02,1.171875000000000000e-01,1.012401580810546875e-01
1.250000000000000000e-01,-6.183385848999023438e-02,1.250000000000000000e-01,1.046018600463867188e-01
1.328125000000000000e-01,-6.433582305908203125e-02,1.328125000000000000e-01,1.076560020446777344e-01
1.406250000000000000e-01,-6.671047210693359375e-02,1.406250000000000000e-01,1.103935241699218750e-01
1.484375000000000000e-01,-6.921005249023437500e-02,1.484375000000000000e-01,1.128201484680175781e-01
1.562500000000000000e-01,-7.164096832275390625e-02,1.562500000000000000e-01,1.149234771728515625e-01
1.640625000000000000e-01,-7.397031784057617188e-02,1.640625000000000000e-01,1.167459487915039062e-01
1.718750000000000000e-01,-7.630491256713867188e-02,1.718750000000000000e-01,1.183447837829589844e-01
1.796875000000000000e-01,-7.856464385986328125e-02,1.796875000000000000e-01,1.197042465209960938e-01
1.875000000000000000e-01,-8.070516586303710938e-02,1.875000000000000000e-01,1.208820343017578125e-01
1.953125000000000000e-01,-8.280086517333984375e-02,1.953125000000000000e-01,1.218690872192382812e-01
2.031250000000000000e-01,-8.494758605957031250e-02,2.031250000000000000e-01,1.226406097412109375e-01
2.109375000000000000e-01,-8.709955215454101562e-02,2.109375000000000000e-01,1.232333183288574219e-01
2.187500000000000000e-01,-8.918142318725585938e-02,2.187500000000000000e-01,1.235775947570800781e-01
2.265625000000000000e-01,-9.114503860473632812e-02,2.265625000000000000e-01,1.237559318542480469e-01
2.343750000000000000e-01,-9.297752380371093750e-02,2.343750000000000000e-01,1.238293647766113281e-01
2.421875000000000000e-01,-9.480524063110351562e-02,2.421875000000000000e-01,1.238055229187011719e-01
2.500000000000000000e-01,-9.653520584106445312e-02,2.500000000000000000e-01,1.236205101013183594e-01
2.578125000000000000e-01,-9.822797775268554688e-02,2.578125000000000000e-01,1.232485771179199219e-01
2.656250000000000000e-01,-1.000604629516601562e-01,2.656250000000000000e-01,1.227798461914062500e-01
2.734375000000000000e-01,-1.019968986511230469e-01,2.734375000000000000e-01,1.221532821655273438e-01
2.812500000000000000e-01,-1.040277481079101562e-01,2.812500000000000000e-01,1.214251518249511719e-01
2.890625000000000000e-01,-1.061215400695800781e-01,2.890625000000000000e-01,1.206326484680175781e-01
2.968750000000000000e-01,-1.082253456115722656e-01,2.968750000000000000e-01,1.197328567504882812e-01
3.046875000000000000e-01,-1.103172302246093750e-01,3.046875000000000000e-01,1.186628341674804688e-01
3.125000000000000000e-01,-1.125097274780273438e-01,3.125000000000000000e-01,1.175012588500976562e-01
3.203125000000000000e-01,-1.148309707641601562e-01,3.203125000000000000e-01,1.162753105163574219e-01
3.281250000000000000e-01,-1.170902252197265625e-01,3.281250000000000000e-01,1.149134635925292969e-01
3.359375000000000000e-01,-1.191296577453613281e-01,3.359375000000000000e-01,1.134228706359863281e-01
3.437500000000000000e-01,-1.211991310119628906e-01,3.437500000000000000e-01,1.118149757385253906e-01
3.515625000000000000e-01,-1.234011650085449219e-01,3.515625000000000000e-01,1.100707054138183594e-01
3.593750000000000000e-01,-1.254024505615234375e-01,3.593750000000000000e-01,1.082386970520019531e-01
3.671875000000000000e-01,-1.275753974914550781e-01,3.671875000000000000e-01,1.063766479492187500e-01
3.750000000000000000e-01,-1.299252510070800781e-01,3.750000000000000000e-01,1.043705940246582031e-01
3.828125000000000000e-01,-1.323022842407226562e-01,3.828125000000000000e-01,1.022257804870605469e-01
3.906250000000000000e-01,-1.347699165344238281e-01,3.906250000000000000e-01,9.988689422607421875e-02
3.984375000000000000e-01,-1.371574401855468750e-01,3.984375000000000000e-01,9.747028350830078125e-02
4.062500000000000000e-01,-1.395759582519531250e-01,4.062500000000000000e-01,9.494447708129882812e-02
4.140625000000000000e-01,-1.419239044189453125e-01,4.140625000000000000e-01,9.217739105224609375e-02
4.218750000000000000e-01,-1.442818641662597656e-01,4.218750000000000000e-01,8.932685852050781250e-02
4.296875000000000000e-01,-1.466741561889648438e-01,4.296875000000000000e-01,8.632183074951171875e-02
4.375000000000000000e-01,-1.489276885986328125e-01,4.375000000000000000e-01,8.313941955566406250e-02
4.453125000000000000e-01,-1.510305404663085938e-01,4.453125000000000000e-01,7.978963851928710938e-02
4.531250000000000000e-01,-1.530947685241699219e-01,4.531250000000000000e-01,7.623100280761718750e-02
4.609375000000000000e-01,-1.551156044006347656e-01,4.609375000000000000e-01,7.251977920532226562e-02
4.687500000000000000e-01,-1.571464538574218750e-01,4.687500000000000000e-01,6.860351562500000000e-02
4.765625000000000000e-01,-1.591572761535644531e-01,4.765625000000000000e-01,6.456375122070312500e-02
4.843750000000000000e-01,-1.611003875732421875e-01,4.843750000000000000e-01,6.036949157714843750e-02
4.921875000000000000e-01,-1.630382537841796875e-01,4.921875000000000000e-01,5.599784851074218750e-02
5.000000000000000000e-01,-1.648311614990234375e-01,5.000000000000000000e-01,5.139112472534179688e-02
5.078125000000000000e-01,-1.665005683898925781e-01,5.078125000000000000e-01,4.657506942749023438e-02
5.156250000000000000e-01,-1.680531501770019531e-01,5.156250000000000000e-01,4.157686233520507812e-02
5.234375000000000000e-01,-1.689820289611816406e-01,5.234375000000000000e-01,3.638792037963867188e-02
5.312500000000000000e-01,-1.695432662963867188e-01,5.312500000000000000e-01,3.101778030395507812e-02
5.390625000000000000e-01,-1.700291633605957031e-01,5.390625000000000000e-01,2.537965774536132812e-02
5.468750000000000000e-01,-1.703934669494628906e-01,5.468750000000000000e-01,1.954936981201171875e-02
5.546875000000000000e-01,-1.702237129211425781e-01,5.546875000000000000e-01,1.354455947875976562e-02
5.625000000000000000e-01,-1.697883605957031250e-01,5.625000000000000000e-01,7.340431213378906250e-03
5.703125000000000000e-01,-1.690721511840820312e-01,5.703125000000000000e-01,9.107589721679687500e-04
5.781250000000000000e-01,-1.677942276000976562e-01,5.781250000000000000e-01,-5.689144134521484375e-03
5.859375000000000000e-01,-1.665697097778320312e-01,5.859375000000000000e-01,-1.246738433837890625e-02
5.937500000000000000e-01,-1.647348403930664062e-01,5.937500000000000000e-01,-1.946020126342773438e-02
6.015625000000000000e-01,-1.623210906982421875e-01,6.015625000000000000e-01,-2.659845352172851562e-02
6.093750000000000000e-01,-1.597785949707031250e-01,6.093750000000000000e-01,-3.385543823242187500e-02
6.171875000000000000e-01,-1.569328308105468750e-01,6.171875000000000000e-01,-4.119110107421875000e-02
6.250000000000000000e-01,-1.536788940429687500e-01,6.250000000000000000e-01,-4.865932464599609375e-02
6.328125000000000000e-01,-1.499795913696289062e-01,6.328125000000000000e-01,-5.621433258056640625e-02
6.406250000000000000e-01,-1.459016799926757812e-01,6.406250000000000000e-01,-6.379270553588867188e-02
6.484375000000000000e-01,-1.414823532104492188e-01,6.484375000000000000e-01,-7.144689559936523438e-02
6.562500000000000000e-01,-1.366853713989257812e-01,6.562500000000000000e-01,-7.917356491088867188e-02
