iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,2.863943204283714294e-02,2.269190826416015625e+02,2.269486846923828125e+02,9.582839906215667725e-02,5.776556581258773804e-02,1.424842607229948044e-02,1.190008968114852905e-01,4.845986068248748779e-01,1.195308491587638855e-01,9.983052015304565430e-01
1.000000000000000000e+00,6.698199361562728882e-02,2.240088653564453125e+02,2.240766143798828125e+02,7.666052132844924927e-02,5.781817063689231873e-02,1.424819044768810272e-02,1.188370734453201294e-01,4.854672849178314209e-01,1.196341961622238159e-01,9.978093504905700684e-01
2.000000000000000000e+00,6.146382540464401245e-02,1.984590148925781250e+02,1.985212097167968750e+02,7.279717922210693359e-02,5.787876248359680176e-02,1.422436069697141647e-02,1.187839508056640625e-01,4.862572252750396729e-01,1.195352226495742798e-01,9.982076883316040039e-01
3.000000000000000000e+00,4.093433916568756104e-02,1.759406890869140625e+02,1.759823913574218750e+02,7.586634904146194458e-02,5.779778212308883667e-02,1.419877819716930389e-02,1.187287122011184692e-01,4.857588112354278564e-01,1.194002404808998108e-01,9.984923601150512695e-01
4.000000000000000000e+00,5.320256575942039490e-02,1.683407287597656250e+02,1.683947296142578125e+02,7.937174290418624878e-02,5.780618637800216675e-02,1.420591212809085846e-02,1.186708137392997742e-01,4.859177768230438232e-01,1.194345653057098389e-01,9.986757636070251465e-01
5.000000000000000000e+00,7.663416117429733276e-02,1.549298858642578125e+02,1.550072631835937500e+02,7.461772859096527100e-02,5.777882784605026245e-02,1.414598710834980011e-02,1.186152771115303040e-01,4.857357144355773926e-01,1.191368922591209412e-01,9.987809062004089355e-01
6.000000000000000000e+00,1.147439405322074890e-01,1.426753997802734375e+02,1.427908782958984375e+02,7.276932895183563232e-02,5.772790312767028809e-02,1.415496785193681717e-02,1.185626834630966187e-01,4.853110313415527344e-01,1.190744563937187195e-01,9.988321661949157715e-01
7.000000000000000000e+00,1.496619433164596558e-01,1.296651306152343750e+02,1.298155212402343750e+02,7.364457100629806519e-02,5.764859169721603394e-02,1.415043883025646210e-02,1.185107231140136719e-01,4.846346378326416016e-01,1.192542091012001038e-01,9.988616704940795898e-01
8.000000000000000000e+00,1.778327971696853638e-01,1.132103881835937500e+02,1.133889770507812500e+02,7.517278939485549927e-02,5.755165964365005493e-02,1.415968406945466995e-02,1.184616461396217346e-01,4.837923347949981689e-01,1.188538298010826111e-01,9.988743662834167480e-01
9.000000000000000000e+00,2.124924808740615845e-01,9.705995178222656250e+01,9.727321624755859375e+01,7.676938176155090332e-02,5.746611207723617554e-02,1.415638532489538193e-02,1.184357404708862305e-01,4.829741120338439941e-01,1.184789091348648071e-01,9.988425374031066895e-01
1.000000000000000000e+01,2.492387592792510986e-01,8.037054443359375000e+01,8.062057495117187500e+01,7.969429343938827515e-02,5.740819498896598816e-02,1.416466664522886276e-02,1.184388473629951477e-01,4.823198318481445312e-01,1.182551905512809753e-01,9.988251328468322754e-01
1.100000000000000000e+01,2.870103120803833008e-01,6.433293151855468750e+01,6.462079620361328125e+01,8.506826311349868774e-02,5.738451331853866577e-02,1.412575691938400269e-02,1.184736266732215881e-01,4.818868041038513184e-01,1.180318444967269897e-01,9.988289475440979004e-01
