y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-4.358112812042236328e-03,7.812500000000000000e-03,9.962141513824462891e-03
1.562500000000000000e-02,-7.292509078979492188e-03,1.562500000000000000e-02,1.971369981765747070e-02
2.343750000000000000e-02,-1.023787260055541992e-02,2.343750000000000000e-02,2.889996767044067383e-02
3.125000000000000000e-02,-1.301568746566772461e-02,3.125000000000000000e-02,3.760796785354614258e-02
3.906250000000000000e-02,-1.566058397293090820e-02,3.906250000000000000e-02,4.576128721237182617e-02
4.687500000000000000e-02,-1.829916238784790039e-02,4.687500000000000000e-02,5.348050594329833984e-02
5.468750000000000000e-02,-2.084547281265258789e-02,5.468750000000000000e-02,6.078749895095825195e-02
6.250000000000000000e-02,-2.347755432128906250e-02,6.250000000000000000e-02,6.764250993728637695e-02
7.031250000000000000e-02,-2.615439891815185547e-02,7.031250000000000000e-02,7.404816150665283203e-02
7.812500000000000000e-02,-2.876651287078857422e-02,7.812500000000000000e-02,8.014929294586181641e-02
8.593750000000000000e-02,-3.133702278137207031e-02,8.593750000000000000e-02,8.587425947189331055e-02
9.375000000000000000e-02,-3.387296199798583984e-02,9.375000000000000000e-02,9.119307994842529297e-02
1.015625000000000000e-01,-3.642141819000244141e-02,1.015625000000000000e-01,9.613883495330810547e-02
1.093750000000000000e-01,-3.900712728500366211e-02,1.093750000000000000e-01,1.007764339447021484e-01
1.171875000000000000e-01,-4.168975353240966797e-02,1.171875000000000000e-01,1.050220727920532227e-01
1.250000000000000000e-01,-4.444783926010131836e-02,1.250000000000000000e-01,1.089429855346679688e-01
1.328125000000000000e-01,-4.725301265716552734e-02,1.328125000000000000e-01,1.125879287719726562e-01
1.406250000000000000e-01,-5.017834901809692383e-02,1.406250000000000000e-01,1.159874200820922852e-01
1.484375000000000000e-01,-5.315613746643066406e-02,1.484375000000000000e-01,1.191552877426147461e-01
1.562500000000000000e-01,-5.618226528167724609e-02,1.562500000000000000e-01,1.220942735671997070e-01
1.640625000000000000e-01,-5.923783779144287109e-02,1.640625000000000000e-01,1.248000860214233398e-01
1.718750000000000000e-01,-6.233620643615722656e-02,1.718750000000000000e-01,1.273021697998046875e-01
1.796875000000000000e-01,-6.551229953765869141e-02,1.796875000000000000e-01,1.295356750488281250e-01
