iter,L_cont,L_mom,loss
0.000000000000000000e+00,1.350200967863202095e-03,2.114502410888671875e+02,2.114515838623046875e+02
1.000000000000000000e+00,1.876392983831465244e-03,2.041118621826171875e+02,2.041137390136718750e+02
2.000000000000000000e+00,6.110128480941057205e-03,1.949297180175781250e+02,1.949358215332031250e+02
3.000000000000000000e+00,1.714262738823890686e-02,1.816760559082031250e+02,1.816931915283203125e+02
4.000000000000000000e+00,4.354382306337356567e-02,1.627642669677734375e+02,1.628078155517578125e+02
5.000000000000000000e+00,1.026243418455123901e-01,1.373248596191406250e+02,1.374274902343750000e+02
6.000000000000000000e+00,2.272110432386398315e-01,1.075836791992187500e+02,1.078108901977539062e+02
7.000000000000000000e+00,4.680952429771423340e-01,8.362006378173828125e+01,8.408815765380859375e+01
8.000000000000000000e+00,8.603854179382324219e-01,8.697414398193359375e+01,8.783452606201171875e+01
9.000000000000000000e+00,1.166810393333435059e+00,1.152522277832031250e+02,1.164190368652343750e+02
1.000000000000000000e+01,1.291211843490600586e+00,1.377072143554687500e+02,1.389984283447265625e+02
1.100000000000000000e+01,1.238685965538024902e+00,1.335909881591796875e+02,1.348296813964843750e+02
1.200000000000000000e+01,1.076476454734802246e+00,1.046227874755859375e+02,1.056992645263671875e+02
1.300000000000000000e+01,8.735725283622741699e-01,6.704418945312500000e+01,6.791776275634765625e+01
1.400000000000000000e+01,6.720721125602722168e-01,3.843889617919921875e+01,3.911096954345703125e+01
1.500000000000000000e+01,4.911507368087768555e-01,2.929439353942871094e+01,2.978554344177246094e+01
1.600000000000000000e+01,3.766825199127197266e-01,3.113460159301757812e+01,3.151128387451171875e+01
1.700000000000000000e+01,3.175999224185943604e-01,3.092428970336914062e+01,3.124188995361328125e+01
1.800000000000000000e+01,2.983506321907043457e-01,2.644897270202636719e+01,2.674732398986816406e+01
1.900000000000000000e+01,3.095389008522033691e-01,2.106368637084960938e+01,2.137322616577148438e+01
2.000000000000000000e+01,3.304623961448669434e-01,1.966019821166992188e+01,1.999065971374511719e+01
2.100000000000000000e+01,3.223046660423278809e-01,2.069217681884765625e+01,2.101448059082031250e+01
2.200000000000000000e+01,2.902506589889526367e-01,1.916898155212402344e+01,1.945923233032226562e+01
2.300000000000000000e+01,2.435289174318313599e-01,1.582818508148193359e+01,1.607171440124511719e+01
2.400000000000000000e+01,1.924472153186798096e-01,1.450081729888916016e+01,1.469326496124267578e+01
2.500000000000000000e+01,1.733312159776687622e-01,1.467745399475097656e+01,1.485078525543212891e+01
2.600000000000000000e+01,1.775637269020080566e-01,1.364503288269042969e+01,1.382259654998779297e+01
2.700000000000000000e+01,2.032168358564376831e-01,1.126247882843017578e+01,1.146569538116455078e+01
2.800000000000000000e+01,2.522116601467132568e-01,9.532744407653808594e+00,9.784955978393554688e+00
2.900000000000000000e+01,2.758103013038635254e-01,8.793983459472656250e+00,9.069793701171875000e+00
3.000000000000000000e+01,2.700752317905426025e-01,7.387295246124267578e+00,7.657370567321777344e+00
3.100000000000000000e+01,2.374606728553771973e-01,6.212044239044189453e+00,6.449504852294921875e+00
3.200000000000000000e+01,2.247705906629562378e-01,5.374336242675781250e+00,5.599106788635253906e+00
3.300000000000000000e+01,2.404279261827468872e-01,4.240715503692626953e+00,4.481143474578857422e+00
3.400000000000000000e+01,2.414441555738449097e-01,3.374670982360839844e+00,3.616115093231201172e+00
3.500000000000000000e+01,2.122039794921875000e-01,2.880943059921264648e+00,3.093147039413452148e+00
3.600000000000000000e+01,2.092755287885665894e-01,2.399282693862915039e+00,2.608558177947998047e+00
3.700000000000000000e+01,2.102408856153488159e-01,1.865550279617309570e+00,2.075791120529174805e+00
3.800000000000000000e+01,1.910920441150665283e-01,2.043579339981079102e+00,2.234671354293823242e+00
3.900000000000000000e+01,2.043582051992416382e-01,2.176745176315307617e+00,2.381103277206420898e+00
4.000000000000000000e+01,2.388136833906173706e-01,2.780213117599487305e+00,3.019026756286621094e+00
4.100000000000000000e+01,2.360398173332214355e-01,2.915738821029663086e+00,3.151778697967529297e+00
4.200000000000000000e+01,2.004231065511703491e-01,2.161434650421142578e+00,2.361857652664184570e+00
4.300000000000000000e+01,1.637570112943649292e-01,3.331140518188476562e+00,3.494897603988647461e+00
4.400000000000000000e+01,1.644621044397354126e-01,3.896888971328735352e+00,4.061351299285888672e+00
4.500000000000000000e+01,1.955526769161224365e-01,2.929060220718383789e+00,3.124612808227539062e+00
4.600000000000000000e+01,2.600958943367004395e-01,3.797362565994262695e+00,4.057458400726318359e+00
4.700000000000000000e+01,2.834362387657165527e-01,5.080739498138427734e+00,5.364175796508789062e+00
4.800000000000000000e+01,2.616369724273681641e-01,3.703719615936279297e+00,3.965356588363647461e+00
4.900000000000000000e+01,2.087371200323104858e-01,2.524944067001342773e+00,2.733681201934814453e+00
5.000000000000000000e+01,1.928680390119552612e-01,2.491038084030151367e+00,2.683906078338623047e+00
5.100000000000000000e+01,2.087546288967132568e-01,1.847278594970703125e+00,2.056033134460449219e+00
5.200000000000000000e+01,2.567420899868011475e-01,2.902507781982421875e+00,3.159249782562255859e+00
5.300000000000000000e+01,2.681429982185363770e-01,3.768659830093383789e+00,4.036802768707275391e+00
5.400000000000000000e+01,2.425636202096939087e-01,2.634953498840332031e+00,2.877517223358154297e+00
5.500000000000000000e+01,1.935852169990539551e-01,2.517428398132324219e+00,2.711013555526733398e+00
5.600000000000000000e+01,1.822982579469680786e-01,2.896606683731079102e+00,3.078904867172241211e+00
5.700000000000000000e+01,1.992133110761642456e-01,1.997350454330444336e+00,2.196563720703125000e+00
5.800000000000000000e+01,2.463323920965194702e-01,2.038364171981811523e+00,2.284696578979492188e+00
5.900000000000000000e+01,2.591543793678283691e-01,2.411741733551025391e+00,2.670896053314208984e+00
6.000000000000000000e+01,2.365929186344146729e-01,1.519266605377197266e+00,1.755859494209289551e+00
6.100000000000000000e+01,1.893296688795089722e-01,1.882727026939392090e+00,2.072056770324707031e+00
6.200000000000000000e+01,1.761573851108551025e-01,2.547706127166748047e+00,2.723863601684570312e+00
6.300000000000000000e+01,1.880008280277252197e-01,1.890614867210388184e+00,2.078615665435791016e+00
6.400000000000000000e+01,2.262157201766967773e-01,1.660929679870605469e+00,1.887145400047302246e+00
6.500000000000000000e+01,2.365568280220031738e-01,1.914345860481262207e+00,2.150902748107910156e+00
6.600000000000000000e+01,2.180615216493606567e-01,1.321556448936462402e+00,1.539618015289306641e+00
6.700000000000000000e+01,1.806661039590835571e-01,1.944226264953613281e+00,2.124892473220825195e+00
6.800000000000000000e+01,1.733532100915908813e-01,2.484324693679809570e+00,2.657677888870239258e+00
6.900000000000000000e+01,1.896134316921234131e-01,1.680281400680541992e+00,1.869894862174987793e+00
7.000000000000000000e+01,2.323477119207382202e-01,1.354506850242614746e+00,1.586854577064514160e+00
7.100000000000000000e+01,2.441114634275436401e-01,1.732053041458129883e+00,1.976164460182189941e+00
7.200000000000000000e+01,2.247663885354995728e-01,1.273179292678833008e+00,1.497945666313171387e+00
7.300000000000000000e+01,1.850498914718627930e-01,1.819574952125549316e+00,2.004624843597412109e+00
7.400000000000000000e+01,1.762934774160385132e-01,2.238747358322143555e+00,2.415040731430053711e+00
7.500000000000000000e+01,1.912611424922943115e-01,1.441972255706787109e+00,1.633233428001403809e+00
7.600000000000000000e+01,2.320419698953628540e-01,1.294152736663818359e+00,1.526194691658020020e+00
7.700000000000000000e+01,2.430597245693206787e-01,1.738475203514099121e+00,1.981534957885742188e+00
7.800000000000000000e+01,2.237660139799118042e-01,1.222542285919189453e+00,1.446308255195617676e+00
7.900000000000000000e+01,1.833971887826919556e-01,1.557961583137512207e+00,1.741358757019042969e+00
8.000000000000000000e+01,1.734485626220703125e-01,1.966164708137512207e+00,2.139613151550292969e+00
8.100000000000000000e+01,1.869410723447799683e-01,1.314718365669250488e+00,1.501659393310546875e+00
