iter,L_cont,L_mom,loss
0.000000000000000000e+00,8.842133684083819389e-04,2.112596893310546875e+02,2.112605743408203125e+02
1.000000000000000000e+00,3.069166559725999832e-03,2.052887573242187500e+02,2.052918243408203125e+02
2.000000000000000000e+00,1.103778649121522903e-02,1.971067810058593750e+02,1.971178131103515625e+02
3.000000000000000000e+00,3.116134181618690491e-02,1.852555847167968750e+02,1.852867431640625000e+02
4.000000000000000000e+00,7.778557389974594116e-02,1.688375854492187500e+02,1.689153747558593750e+02
5.000000000000000000e+00,1.781040132045745850e-01,1.479932556152343750e+02,1.481713562011718750e+02
6.000000000000000000e+00,3.824560642242431641e-01,1.259106521606445312e+02,1.262931060791015625e+02
7.000000000000000000e+00,7.736667394638061523e-01,1.131992492675781250e+02,1.139729156494140625e+02
8.000000000000000000e+00,1.075797080993652344e+00,1.178930816650390625e+02,1.189688796997070312e+02
9.000000000000000000e+00,1.123709559440612793e+00,1.294394378662109375e+02,1.305631408691406250e+02
1.000000000000000000e+01,9.623326063156127930e-01,1.329187316894531250e+02,1.338810577392578125e+02
1.100000000000000000e+01,7.267876863479614258e-01,1.232052307128906250e+02,1.239320220947265625e+02
1.200000000000000000e+01,5.287254452705383301e-01,1.057757110595703125e+02,1.063044357299804688e+02
1.300000000000000000e+01,4.051136374473571777e-01,9.018420410156250000e+01,9.058931732177734375e+01
1.400000000000000000e+01,3.343901634216308594e-01,8.324864196777343750e+01,8.358303070068359375e+01
1.500000000000000000e+01,3.143699169158935547e-01,8.121688842773437500e+01,8.153125762939453125e+01
1.600000000000000000e+01,3.228501975536346436e-01,7.830239105224609375e+01,7.862524414062500000e+01
1.700000000000000000e+01,3.585597872734069824e-01,7.273177337646484375e+01,7.309033203125000000e+01
1.800000000000000000e+01,4.269308447837829590e-01,6.580535125732421875e+01,6.623228454589843750e+01
1.900000000000000000e+01,5.379989147186279297e-01,6.144931411743164062e+01,6.198731231689453125e+01
2.000000000000000000e+01,6.148632168769836426e-01,5.961690139770507812e+01,6.023176574707031250e+01
2.100000000000000000e+01,6.383948922157287598e-01,5.611711883544921875e+01,5.675551223754882812e+01
2.200000000000000000e+01,6.119897365570068359e-01,5.095638275146484375e+01,5.156837081909179688e+01
2.300000000000000000e+01,5.497415065765380859e-01,4.856358718872070312e+01,4.911332702636718750e+01
2.400000000000000000e+01,5.228901505470275879e-01,4.791131210327148438e+01,4.843420410156250000e+01
2.500000000000000000e+01,5.178167819976806641e-01,4.517320251464843750e+01,4.569102096557617188e+01
2.600000000000000000e+01,5.186883211135864258e-01,4.199703979492187500e+01,4.251572799682617188e+01
2.700000000000000000e+01,4.648743867874145508e-01,4.112680053710937500e+01,4.159167480468750000e+01
2.800000000000000000e+01,3.958630561828613281e-01,3.940783309936523438e+01,3.980369567871093750e+01
2.900000000000000000e+01,3.286136090755462646e-01,3.673121643066406250e+01,3.705982971191406250e+01
3.000000000000000000e+01,3.143131136894226074e-01,3.560601425170898438e+01,3.592032623291015625e+01
3.100000000000000000e+01,3.354842066764831543e-01,3.415766906738281250e+01,3.449315261840820312e+01
3.200000000000000000e+01,3.827055692672729492e-01,3.083814430236816406e+01,3.122084999084472656e+01
3.300000000000000000e+01,4.363824725151062012e-01,2.914664649963378906e+01,2.958302879333496094e+01
3.400000000000000000e+01,4.295864403247833252e-01,2.834846305847167969e+01,2.877804946899414062e+01
3.500000000000000000e+01,3.771781325340270996e-01,2.508701705932617188e+01,2.546419525146484375e+01
3.600000000000000000e+01,2.939158976078033447e-01,2.316111373901367188e+01,2.345503044128417969e+01
3.700000000000000000e+01,2.433982193470001221e-01,2.214535522460937500e+01,2.238875389099121094e+01
3.800000000000000000e+01,2.255361527204513550e-01,1.958613395690917969e+01,1.981167030334472656e+01
3.900000000000000000e+01,2.503096759319305420e-01,1.862433624267578125e+01,1.887464523315429688e+01
4.000000000000000000e+01,2.655676901340484619e-01,1.739678001403808594e+01,1.766234779357910156e+01
