iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.348678837530314922e-03,2.114653930664062500e+02,2.114667358398437500e+02,0.000000000000000000e+00,2.689415514469146729e-01,2.689414322376251221e-01,2.689414322376251221e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.890250481665134430e-03,2.046537933349609375e+02,2.046556854248046875e+02,0.000000000000000000e+00,2.689021527767181396e-01,2.687448561191558838e-01,2.691380679607391357e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.134424824267625809e-03,1.961397857666015625e+02,1.961459197998046875e+02,0.000000000000000000e+00,2.688931524753570557e-01,2.685488462448120117e-01,2.693289518356323242e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.734117045998573303e-02,1.838040313720703125e+02,1.838213653564453125e+02,0.000000000000000000e+00,2.689174115657806396e-01,2.683539390563964844e-01,2.695156931877136230e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,4.446448013186454773e-02,1.661425781250000000e+02,1.661870422363281250e+02,0.000000000000000000e+00,2.689677774906158447e-01,2.681863009929656982e-01,2.697026729583740234e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.056365370750427246e-01,1.422483978271484375e+02,1.423540344238281250e+02,0.000000000000000000e+00,2.690626084804534912e-01,2.681527435779571533e-01,2.698924243450164795e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,2.357988357543945312e-01,1.140320510864257812e+02,1.142678527832031250e+02,0.000000000000000000e+00,2.691935002803802490e-01,2.682259678840637207e-01,2.700854837894439697e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.919531047344207764e-01,9.069418334960937500e+01,9.118613433837890625e+01,0.000000000000000000e+00,2.693452835083007812e-01,2.683441638946533203e-01,2.702814638614654541e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,9.483446478843688965e-01,9.474389648437500000e+01,9.569223785400390625e+01,0.000000000000000000e+00,2.695104181766510010e-01,2.684839665889739990e-01,2.704747617244720459e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.329633951187133789e+00,1.281622924804687500e+02,1.294919281005859375e+02,0.000000000000000000e+00,2.695864737033843994e-01,2.685309648513793945e-01,2.705411911010742188e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.503933668136596680e+00,1.603388519287109375e+02,1.618427886962890625e+02,0.000000000000000000e+00,2.695989608764648438e-01,2.685084342956542969e-01,2.705731391906738281e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.460160970687866211e+00,1.668559112548828125e+02,1.683160705566406250e+02,0.000000000000000000e+00,2.695665657520294189e-01,2.684404850006103516e-01,2.705791294574737549e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.273502707481384277e+00,1.447794647216796875e+02,1.460529632568359375e+02,0.000000000000000000e+00,2.695012390613555908e-01,2.683419883251190186e-01,2.705499231815338135e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.031135678291320801e+00,1.076723556518554688e+02,1.087034912109375000e+02,0.000000000000000000e+00,2.694118320941925049e-01,2.682226598262786865e-01,2.704937756061553955e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,7.920438051223754883e-01,7.316042327880859375e+01,7.395246887207031250e+01,0.000000000000000000e+00,2.693048715591430664e-01,2.680900990962982178e-01,2.704171240329742432e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.829651951789855957e-01,5.361173629760742188e+01,5.419470214843750000e+01,0.000000000000000000e+00,2.691861093044281006e-01,2.679529488086700439e-01,2.703253626823425293e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,4.191991984844207764e-01,5.233832168579101562e+01,5.275752258300781250e+01,0.000000000000000000e+00,2.690684795379638672e-01,2.678420245647430420e-01,2.702266275882720947e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,3.335704803466796875e-01,5.646769714355468750e+01,5.680126953125000000e+01,0.000000000000000000e+00,2.689866721630096436e-01,2.677700221538543701e-01,2.701556086540222168e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,2.958802282810211182e-01,5.664669418334960938e+01,5.694257354736328125e+01,0.000000000000000000e+00,2.689300477504730225e-01,2.677114307880401611e-01,2.701056301593780518e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.914038300514221191e-01,5.154769134521484375e+01,5.183909606933593750e+01,0.000000000000000000e+00,2.688932418823242188e-01,2.676565945148468018e-01,2.700724601745605469e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,3.153231739997863770e-01,4.276412963867187500e+01,4.307945251464843750e+01,0.000000000000000000e+00,2.688734829425811768e-01,2.676018476486206055e-01,2.700537443161010742e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,3.689106702804565430e-01,3.382929992675781250e+01,3.419821166992187500e+01,0.000000000000000000e+00,2.688698172569274902e-01,2.675469815731048584e-01,2.700477838516235352e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,4.517636597156524658e-01,3.036358451843261719e+01,3.081534767150878906e+01,0.000000000000000000e+00,2.688789069652557373e-01,2.674881219863891602e-01,2.700477838516235352e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,4.753890931606292725e-01,3.102975654602050781e+01,3.150514602661132812e+01,0.000000000000000000e+00,2.688654065132141113e-01,2.674131989479064941e-01,2.700179517269134521e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
