y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,-8.802413940429687500e-04,7.812500000000000000e-03,5.482196807861328125e-03
1.562500000000000000e-02,-7.848739624023437500e-04,1.562500000000000000e-02,5.233764648437500000e-03
2.343750000000000000e-02,-7.023811340332031250e-04,2.343750000000000000e-02,4.589557647705078125e-03
3.125000000000000000e-02,-5.230903625488281250e-04,3.125000000000000000e-02,3.904342651367187500e-03
3.906250000000000000e-02,-2.341270446777343750e-04,3.906250000000000000e-02,3.469467163085937500e-03
4.687500000000000000e-02,1.177787780761718750e-04,4.687500000000000000e-02,3.410339355468750000e-03
5.468750000000000000e-02,4.205703735351562500e-04,5.468750000000000000e-02,3.664016723632812500e-03
6.250000000000000000e-02,5.769729614257812500e-04,6.250000000000000000e-02,4.078865051269531250e-03
7.031250000000000000e-02,5.483627319335937500e-04,7.031250000000000000e-02,4.453659057617187500e-03
7.812500000000000000e-02,3.666877746582031250e-04,7.812500000000000000e-02,4.647254943847656250e-03
8.593750000000000000e-02,1.058578491210937500e-04,8.593750000000000000e-02,4.630088806152343750e-03
9.375000000000000000e-02,-1.339912414550781250e-04,9.375000000000000000e-02,4.464149475097656250e-03
1.015625000000000000e-01,-2.679824829101562500e-04,1.015625000000000000e-01,4.262924194335937500e-03
1.093750000000000000e-01,-2.770423889160156250e-04,1.093750000000000000e-01,4.133701324462890625e-03
1.171875000000000000e-01,-1.907348632812500000e-04,1.171875000000000000e-01,4.124641418457031250e-03
1.250000000000000000e-01,-7.009506225585937500e-05,1.250000000000000000e-01,4.203796386718750000e-03
1.328125000000000000e-01,2.098083496093750000e-05,1.328125000000000000e-01,4.290580749511718750e-03
1.406250000000000000e-01,4.005432128906250000e-05,1.406250000000000000e-01,4.312038421630859375e-03
1.484375000000000000e-01,-1.525878906250000000e-05,1.484375000000000000e-01,4.238605499267578125e-03
1.562500000000000000e-01,-9.727478027343750000e-05,1.562500000000000000e-01,4.080772399902343750e-03
1.640625000000000000e-01,-1.630783081054687500e-04,1.640625000000000000e-01,3.904819488525390625e-03
1.718750000000000000e-01,-1.678466796875000000e-04,1.718750000000000000e-01,3.782272338867187500e-03
1.796875000000000000e-01,-9.632110595703125000e-05,1.796875000000000000e-01,3.758430480957031250e-03
1.875000000000000000e-01,2.098083496093750000e-05,1.875000000000000000e-01,3.826141357421875000e-03
1.953125000000000000e-01,1.344680786132812500e-04,1.953125000000000000e-01,3.933429718017578125e-03
2.031250000000000000e-01,1.983642578125000000e-04,2.031250000000000000e-01,4.017829895019531250e-03
2.109375000000000000e-01,1.864433288574218750e-04,2.109375000000000000e-01,4.030704498291015625e-03
2.187500000000000000e-01,9.918212890625000000e-05,2.187500000000000000e-01,3.968715667724609375e-03
2.265625000000000000e-01,-1.955032348632812500e-05,2.265625000000000000e-01,3.863334655761718750e-03
2.343750000000000000e-01,-1.201629638671875000e-04,2.343750000000000000e-01,3.763675689697265625e-03
2.421875000000000000e-01,-1.621246337890625000e-04,2.421875000000000000e-01,3.721714019775390625e-03
2.500000000000000000e-01,-1.287460327148437500e-04,2.500000000000000000e-01,3.743171691894531250e-03
2.578125000000000000e-01,-2.861022949218750000e-05,2.578125000000000000e-01,3.803253173828125000e-03
2.656250000000000000e-01,9.059906005859375000e-05,2.656250000000000000e-01,3.862380981445312500e-03
2.734375000000000000e-01,1.697540283203125000e-04,2.734375000000000000e-01,3.881931304931640625e-03
2.812500000000000000e-01,1.897811889648437500e-04,2.812500000000000000e-01,3.843784332275390625e-03
2.890625000000000000e-01,1.459121704101562500e-04,2.890625000000000000e-01,3.768920898437500000e-03
2.968750000000000000e-01,5.865097045898437500e-05,2.968750000000000000e-01,3.701686859130859375e-03
3.046875000000000000e-01,-1.335144042968750000e-05,3.046875000000000000e-01,3.677845001220703125e-03
3.125000000000000000e-01,-2.479553222656250000e-05,3.125000000000000000e-01,3.712654113769531250e-03
3.203125000000000000e-01,3.910064697265625000e-05,3.203125000000000000e-01,3.797054290771484375e-03
3.281250000000000000e-01,1.506805419921875000e-04,3.281250000000000000e-01,3.894329071044921875e-03
3.359375000000000000e-01,2.627372741699218750e-04,3.359375000000000000e-01,3.952026367187500000e-03
3.437500000000000000e-01,3.209114074707031250e-04,3.437500000000000000e-01,3.947257995605468750e-03
3.515625000000000000e-01,2.703666687011718750e-04,3.515625000000000000e-01,3.888130187988281250e-03
3.593750000000000000e-01,1.220703125000000000e-04,3.593750000000000000e-01,3.805160522460937500e-03
3.671875000000000000e-01,-6.723403930664062500e-05,3.671875000000000000e-01,3.738880157470703125e-03
3.750000000000000000e-01,-1.974105834960937500e-04,3.750000000000000000e-01,3.711223602294921875e-03
3.828125000000000000e-01,-1.449584960937500000e-04,3.828125000000000000e-01,3.731250762939453125e-03
3.906250000000000000e-01,1.640319824218750000e-04,3.906250000000000000e-01,3.774642944335937500e-03
3.984375000000000000e-01,7.433891296386718750e-04,3.984375000000000000e-01,3.813743591308593750e-03
4.062500000000000000e-01,1.540184020996093750e-03,4.062500000000000000e-01,3.815650939941406250e-03
4.140625000000000000e-01,2.425670623779296875e-03,4.140625000000000000e-01,3.765106201171875000e-03
4.218750000000000000e-01,3.242969512939453125e-03,4.218750000000000000e-01,3.705024719238281250e-03
4.296875000000000000e-01,3.857612609863281250e-03,4.296875000000000000e-01,3.658294677734375000e-03
4.375000000000000000e-01,4.191398620605468750e-03,4.375000000000000000e-01,3.654956817626953125e-03
4.453125000000000000e-01,4.257678985595703125e-03,4.453125000000000000e-01,3.705024719238281250e-03
4.531250000000000000e-01,4.130363464355468750e-03,4.531250000000000000e-01,3.777980804443359375e-03
4.609375000000000000e-01,3.928661346435546875e-03,4.609375000000000000e-01,3.848075866699218750e-03
4.687500000000000000e-01,3.770351409912109375e-03,4.687500000000000000e-01,3.885269165039062500e-03
4.765625000000000000e-01,3.720760345458984375e-03,4.765625000000000000e-01,3.867149353027343750e-03
4.843750000000000000e-01,3.784179687500000000e-03,4.843750000000000000e-01,3.812789916992187500e-03
4.921875000000000000e-01,3.917694091796875000e-03,4.921875000000000000e-01,3.746032714843750000e-03
5.000000000000000000e-01,4.044532775878906250e-03,5.000000000000000000e-01,3.705024719238281250e-03
5.078125000000000000e-01,4.106521606445312500e-03,5.078125000000000000e-01,3.708362579345703125e-03
5.156250000000000000e-01,4.087448120117187500e-03,5.156250000000000000e-01,3.743648529052734375e-03
5.234375000000000000e-01,3.991127014160156250e-03,5.234375000000000000e-01,3.795146942138671875e-03
5.312500000000000000e-01,3.879547119140625000e-03,5.312500000000000000e-01,3.819942474365234375e-03
5.390625000000000000e-01,3.814697265625000000e-03,5.390625000000000000e-01,3.800392150878906250e-03
5.468750000000000000e-01,3.819465637207031250e-03,5.468750000000000000e-01,3.755092620849609375e-03
5.546875000000000000e-01,3.894329071044921875e-03,5.546875000000000000e-01,3.701686859130859375e-03
5.625000000000000000e-01,3.995418548583984375e-03,5.625000000000000000e-01,3.667354583740234375e-03
5.703125000000000000e-01,4.073143005371093750e-03,5.703125000000000000e-01,3.685474395751953125e-03
5.781250000000000000e-01,4.089832305908203125e-03,5.781250000000000000e-01,3.752708435058593750e-03
5.859375000000000000e-01,4.032611846923828125e-03,5.859375000000000000e-01,3.837585449218750000e-03
5.937500000000000000e-01,3.934383392333984375e-03,5.937500000000000000e-01,3.898620605468750000e-03
6.015625000000000000e-01,3.839015960693359375e-03,6.015625000000000000e-01,3.914833068847656250e-03
6.093750000000000000e-01,3.793239593505859375e-03,6.093750000000000000e-01,3.878593444824218750e-03
6.171875000000000000e-01,3.826141357421875000e-03,6.171875000000000000e-01,3.808021545410156250e-03
6.250000000000000000e-01,3.921031951904296875e-03,6.250000000000000000e-01,3.746032714843750000e-03
6.328125000000000000e-01,4.036426544189453125e-03,6.328125000000000000e-01,3.715515136718750000e-03
6.406250000000000000e-01,5.488395690917968750e-04,6.406250000000000000e-01,3.728866577148437500e-03
6.484375000000000000e-01,-2.630233764648437500e-03,6.484375000000000000e-01,3.778934478759765625e-03
6.562500000000000000e-01,-2.126693725585937500e-03,6.562500000000000000e-01,3.832817077636718750e-03
6.640625000000000000e-01,-2.023220062255859375e-03,6.640625000000000000e-01,3.858089447021484375e-03
6.718750000000000000e-01,-2.932548522949218750e-03,6.718750000000000000e-01,3.831863403320312500e-03
6.796875000000000000e-01,-4.653453826904296875e-03,6.796875000000000000e-01,3.769397735595703125e-03
6.875000000000000000e-01,-6.037712097167968750e-03,6.875000000000000000e-01,3.715515136718750000e-03
6.953125000000000000e-01,-6.283283233642578125e-03,6.953125000000000000e-01,3.696918487548828125e-03
7.031250000000000000e-01,-5.195617675781250000e-03,7.031250000000000000e-01,3.731727600097656250e-03
7.109375000000000000e-01,-3.583431243896484375e-03,7.109375000000000000e-01,3.817558288574218750e-03
