y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,1.092672348022460938e-03,7.812500000000000000e-03,-4.926443099975585938e-03
1.562500000000000000e-02,1.786708831787109375e-03,1.562500000000000000e-02,-1.148724555969238281e-02
2.343750000000000000e-02,2.999782562255859375e-03,2.343750000000000000e-02,-1.186299324035644531e-02
3.125000000000000000e-02,2.835035324096679688e-03,3.125000000000000000e-02,-1.430273056030273438e-02
3.906250000000000000e-02,2.899408340454101562e-03,3.906250000000000000e-02,-1.303458213806152344e-02
4.687500000000000000e-02,2.621650695800781250e-03,4.687500000000000000e-02,-1.304125785827636719e-02
5.468750000000000000e-02,2.037048339843750000e-03,5.468750000000000000e-02,-1.040744781494140625e-02
6.250000000000000000e-02,1.530647277832031250e-03,6.250000000000000000e-02,-8.721828460693359375e-03
7.031250000000000000e-02,1.174926757812500000e-03,7.031250000000000000e-02,-5.973577499389648438e-03
7.812500000000000000e-02,9.360313415527343750e-04,7.812500000000000000e-02,-4.494905471801757812e-03
8.593750000000000000e-02,3.182888031005859375e-04,8.593750000000000000e-02,-2.323389053344726562e-03
9.375000000000000000e-02,-3.659725189208984375e-04,9.375000000000000000e-02,-7.822513580322265625e-04
1.015625000000000000e-01,-6.942749023437500000e-04,1.015625000000000000e-01,1.226186752319335938e-03
1.093750000000000000e-01,-1.302480697631835938e-03,1.093750000000000000e-01,2.361059188842773438e-03
1.171875000000000000e-01,-1.887798309326171875e-03,1.171875000000000000e-01,3.601551055908203125e-03
1.250000000000000000e-01,-1.762866973876953125e-03,1.250000000000000000e-01,4.161596298217773438e-03
1.328125000000000000e-01,-1.287698745727539062e-03,1.328125000000000000e-01,4.893779754638671875e-03
1.406250000000000000e-01,-1.067161560058593750e-03,1.406250000000000000e-01,5.011320114135742188e-03
1.484375000000000000e-01,-1.130580902099609375e-03,1.484375000000000000e-01,5.243301391601562500e-03
1.562500000000000000e-01,-1.048564910888671875e-03,1.562500000000000000e-01,4.964590072631835938e-03
1.640625000000000000e-01,-7.035732269287109375e-04,1.640625000000000000e-01,4.786014556884765625e-03
1.718750000000000000e-01,-3.156661987304687500e-04,1.718750000000000000e-01,4.133224487304687500e-03
1.796875000000000000e-01,2.193450927734375000e-04,1.796875000000000000e-01,3.640651702880859375e-03
1.875000000000000000e-01,9.870529174804687500e-04,1.875000000000000000e-01,2.904653549194335938e-03
1.953125000000000000e-01,1.724720001220703125e-03,1.953125000000000000e-01,2.453327178955078125e-03
2.031250000000000000e-01,2.285480499267578125e-03,2.031250000000000000e-01,1.786947250366210938e-03
2.109375000000000000e-01,2.679109573364257812e-03,2.109375000000000000e-01,1.339435577392578125e-03
2.187500000000000000e-01,2.907752990722656250e-03,2.187500000000000000e-01,7.548332214355468750e-04
2.265625000000000000e-01,2.952575683593750000e-03,2.265625000000000000e-01,4.849433898925781250e-04
2.343750000000000000e-01,2.804279327392578125e-03,2.343750000000000000e-01,1.516342163085937500e-04
2.421875000000000000e-01,2.599000930786132812e-03,2.421875000000000000e-01,6.318092346191406250e-05
2.500000000000000000e-01,2.462625503540039062e-03,2.500000000000000000e-01,-9.202957153320312500e-05
