y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,4.577636718750000000e-05,7.812500000000000000e-03,8.096694946289062500e-04
1.562500000000000000e-02,-9.393692016601562500e-05,1.562500000000000000e-02,8.869171142578125000e-04
2.343750000000000000e-02,-2.737045288085937500e-04,2.343750000000000000e-02,8.945465087890625000e-04
3.125000000000000000e-02,6.008148193359375000e-05,3.125000000000000000e-02,8.192062377929687500e-04
3.906250000000000000e-02,1.220703125000000000e-04,3.906250000000000000e-02,8.039474487304687500e-04
4.687500000000000000e-02,-2.861022949218750000e-06,4.687500000000000000e-02,7.624626159667968750e-04
5.468750000000000000e-02,-5.817413330078125000e-05,5.468750000000000000e-02,8.611679077148437500e-04
6.250000000000000000e-02,-1.273155212402343750e-04,6.250000000000000000e-02,9.598731994628906250e-04
7.031250000000000000e-02,-5.245208740234375000e-05,7.031250000000000000e-02,7.944107055664062500e-04
7.812500000000000000e-02,-3.767013549804687500e-05,7.812500000000000000e-02,7.820129394531250000e-04
8.593750000000000000e-02,4.291534423828125000e-05,8.593750000000000000e-02,8.373260498046875000e-04
9.375000000000000000e-02,5.769729614257812500e-05,9.375000000000000000e-02,8.258819580078125000e-04
1.015625000000000000e-01,4.148483276367187500e-05,1.015625000000000000e-01,8.296966552734375000e-04
1.093750000000000000e-01,6.055831909179687500e-05,1.093750000000000000e-01,8.592605590820312500e-04
1.171875000000000000e-01,1.034736633300781250e-04,1.171875000000000000e-01,9.431838989257812500e-04
1.250000000000000000e-01,4.577636718750000000e-05,1.250000000000000000e-01,9.779930114746093750e-04
1.328125000000000000e-01,-5.817413330078125000e-05,1.328125000000000000e-01,8.606910705566406250e-04
1.406250000000000000e-01,-4.482269287109375000e-05,1.406250000000000000e-01,7.658004760742187500e-04
1.484375000000000000e-01,-3.719329833984375000e-05,1.484375000000000000e-01,7.929801940917968750e-04
1.562500000000000000e-01,-6.628036499023437500e-05,1.562500000000000000e-01,8.316040039062500000e-04
1.640625000000000000e-01,6.532669067382812500e-05,1.640625000000000000e-01,8.249282836914062500e-04
1.718750000000000000e-01,1.001358032226562500e-05,1.718750000000000000e-01,8.831024169921875000e-04
