iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.035744696855545044e-02,7.184539921581745148e-03,1.754198595881462097e-02,0.000000000000000000e+00,5.798959359526634216e-02,1.423368230462074280e-02,1.190216615796089172e-01,4.864779710769653320e-01,1.194071620702743530e-01,9.984794259071350098e-01
1.000000000000000000e+00,1.255011535249650478e-03,6.469107465818524361e-04,1.901922281831502914e-03,0.000000000000000000e+00,5.788581073284149170e-02,1.421394385397434235e-02,1.189346760511398315e-01,4.860352575778961182e-01,1.193466410040855408e-01,9.986288547515869141e-01
2.000000000000000000e+00,2.811628160998225212e-03,5.763197550550103188e-04,3.387948032468557358e-03,0.000000000000000000e+00,5.786565691232681274e-02,1.419878751039505005e-02,1.187351197004318237e-01,4.861652851104736328e-01,1.192907169461250305e-01,9.975498318672180176e-01
3.000000000000000000e+00,4.326431080698966980e-03,9.013451635837554932e-04,5.227776244282722473e-03,0.000000000000000000e+00,5.786274001002311707e-02,1.422103494405746460e-02,1.186771765351295471e-01,4.863797426223754883e-01,1.195344626903533936e-01,9.976664781570434570e-01
4.000000000000000000e+00,2.425797749310731888e-03,6.886915653012692928e-04,3.114489372819662094e-03,0.000000000000000000e+00,5.783804133534431458e-02,1.419681403785943985e-02,1.186247915029525757e-01,4.863828122615814209e-01,1.194248497486114502e-01,9.978821873664855957e-01
5.000000000000000000e+00,1.097960746847093105e-03,5.724264774471521378e-04,1.670387224294245243e-03,0.000000000000000000e+00,5.780703574419021606e-02,1.421281974762678146e-02,1.185851469635963440e-01,4.863066375255584717e-01,1.196298822760581970e-01,9.981360435485839844e-01
6.000000000000000000e+00,8.017580257728695869e-04,4.598659870680421591e-04,1.261624041944742203e-03,0.000000000000000000e+00,5.777435749769210815e-02,1.419148687273263931e-02,1.185447499155998230e-01,4.862037897109985352e-01,1.194498538970947266e-01,9.982981085777282715e-01
7.000000000000000000e+00,8.133071823976933956e-04,3.732927434612065554e-04,1.186599954962730408e-03,0.000000000000000000e+00,5.773812532424926758e-02,1.422140095382928848e-02,1.185015887022018433e-01,4.860710799694061279e-01,1.197438985109329224e-01,9.983947873115539551e-01
8.000000000000000000e+00,8.354677702300250530e-04,3.437120467424392700e-04,1.179179875180125237e-03,0.000000000000000000e+00,5.770035460591316223e-02,1.420066785067319870e-02,1.184548437595367432e-01,4.859291017055511475e-01,1.196076795458793640e-01,9.984456896781921387e-01
9.000000000000000000e+00,7.427440723404288292e-04,3.222199447918683290e-04,1.064963988028466702e-03,0.000000000000000000e+00,5.766299739480018616e-02,1.416607480496168137e-02,1.184058561921119690e-01,4.857935607433319092e-01,1.193520501255989075e-01,9.984698891639709473e-01
1.000000000000000000e+01,5.577203701250255108e-04,2.787521516438573599e-04,8.364724926650524139e-04,0.000000000000000000e+00,5.762608349323272705e-02,1.415476668626070023e-02,1.183552518486976624e-01,4.856630563735961914e-01,1.194127872586250305e-01,9.984714388847351074e-01
1.100000000000000000e+01,3.719291707966476679e-04,2.328209666302427649e-04,6.047501228749752045e-04,0.000000000000000000e+00,5.759048834443092346e-02,1.417935732752084732e-02,1.183070763945579529e-01,4.855422973632812500e-01,1.196432337164878845e-01,9.984784722328186035e-01
1.200000000000000000e+01,2.446731377858668566e-04,1.990420714719220996e-04,4.437151947058737278e-04,0.000000000000000000e+00,5.755718797445297241e-02,1.415507122874259949e-02,1.182623282074928284e-01,4.854371845722198486e-01,1.193550378084182739e-01,9.984939098358154297e-01
1.300000000000000000e+01,1.817581069190055132e-04,1.766761852195486426e-04,3.584342775866389275e-04,0.000000000000000000e+00,5.752600356936454773e-02,1.415757648646831512e-02,1.182220876216888428e-01,4.853439927101135254e-01,1.195771917700767517e-01,9.985229372978210449e-01
1.400000000000000000e+01,1.667757751420140266e-04,1.609189057489857078e-04,3.276946954429149628e-04,0.000000000000000000e+00,5.749714374542236328e-02,1.415719743818044662e-02,1.181846708059310913e-01,4.852633774280548096e-01,1.195009574294090271e-01,9.985498785972595215e-01
