iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.984466314315795898e+00,1.949202299118041992e+00,3.933668613433837891e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,1.446866631507873535e+00,1.292072772979736328e+00,2.738939285278320312e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,4.354158937931060791e-01,2.874269783496856689e-01,7.228428721427917480e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,1.852627545595169067e-01,8.164993673563003540e-02,2.669126987457275391e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,1.641739159822463989e-01,9.700977057218551636e-02,2.611836791038513184e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,5.258239805698394775e-02,2.446515858173370361e-02,7.704755663871765137e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,8.208180218935012817e-02,4.520931467413902283e-02,1.272911131381988525e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,8.837196975946426392e-02,4.890545457601547241e-02,1.372774243354797363e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,4.089849442243576050e-02,1.558188628405332565e-02,5.648038163781166077e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,2.297691814601421356e-02,9.467955678701400757e-03,3.244487196207046509e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,2.233805507421493530e-02,1.063716504722833633e-02,3.297521919012069702e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,1.085122022777795792e-02,3.560889977961778641e-03,1.441211067140102386e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.200000000000000000e+01,8.665011264383792877e-03,5.038840230554342270e-03,1.370385102927684784e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.300000000000000000e+01,1.377581059932708740e-02,5.845727398991584778e-03,1.962153799831867218e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.400000000000000000e+01,1.111346110701560974e-02,2.498780144378542900e-03,1.361224148422479630e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.500000000000000000e+01,4.589547868818044662e-03,1.157905207946896553e-03,5.747453309595584869e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.600000000000000000e+01,3.759035607799887657e-03,1.479867962189018726e-03,5.238903686404228210e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,6.539348047226667404e-03,1.563771860674023628e-03,8.103120140731334686e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.800000000000000000e+01,3.903991775587201118e-03,8.098516263999044895e-04,4.713843576610088348e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.900000000000000000e+01,2.087967470288276672e-03,8.123840088956058025e-04,2.900351537391543388e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.000000000000000000e+01,2.307433867827057838e-03,5.564794410020112991e-04,2.863913308829069138e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.100000000000000000e+01,3.395693376660346985e-03,9.566060034558176994e-04,4.352299496531486511e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,1.976917264983057976e-03,5.069070612080395222e-04,2.483824267983436584e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,9.677363559603691101e-04,3.679437213577330112e-04,1.335680019110441208e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,9.323363192379474640e-04,2.933613432105630636e-04,1.225697691552340984e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.500000000000000000e+01,1.720829866826534271e-03,3.409046621527522802e-04,2.061734441667795181e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.600000000000000000e+01,1.797750708647072315e-03,3.569940163288265467e-04,2.154744695872068405e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.700000000000000000e+01,1.225830405019223690e-03,3.476609126664698124e-04,1.573491375893354416e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.800000000000000000e+01,5.742674111388623714e-04,2.363922249060124159e-04,8.106596069410443306e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.900000000000000000e+01,3.380726557224988937e-04,2.053921925835311413e-04,5.434648483060300350e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.000000000000000000e+01,5.529819754883646965e-04,2.341286599403247237e-04,7.871106499806046486e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.100000000000000000e+01,7.924439269118010998e-04,2.155125257559120655e-04,1.007956452667713165e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.200000000000000000e+01,8.642600150778889656e-04,2.186514611821621656e-04,1.082911505363881588e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.300000000000000000e+01,6.097812438383698463e-04,1.607269950909540057e-04,7.705082534812390804e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.400000000000000000e+01,3.286605060566216707e-04,1.160313186119310558e-04,4.446918319445103407e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.500000000000000000e+01,2.542821457609534264e-04,1.230994530487805605e-04,3.773815988097339869e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.600000000000000000e+01,2.565304166637361050e-04,9.019691788125783205e-05,3.467273199930787086e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.700000000000000000e+01,3.189823764842003584e-04,7.828140223864465952e-05,3.972637932747602463e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.800000000000000000e+01,3.315995272714644670e-04,7.830420508980751038e-05,4.099037323612719774e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.900000000000000000e+01,2.387780696153640747e-04,6.634090823354199529e-05,3.051189705729484558e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.000000000000000000e+01,1.842911879066377878e-04,8.335385064128786325e-05,2.676450530998408794e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.100000000000000000e+01,1.646582677494734526e-04,8.086502202786505222e-05,2.455232897773385048e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.200000000000000000e+01,1.490269642090424895e-04,4.912963777314871550e-05,1.981566019821912050e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.300000000000000000e+01,1.636683737160637975e-04,4.096713746548630297e-05,2.046355075435712934e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.400000000000000000e+01,1.569645683048292994e-04,4.087089109816588461e-05,1.978354557650163770e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.500000000000000000e+01,1.255495008081197739e-04,4.162517507211305201e-05,1.671746722422540188e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.600000000000000000e+01,1.081336376955732703e-04,5.446398063213564456e-05,1.625976146897301078e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.700000000000000000e+01,8.541974966647103429e-05,4.953062671120278537e-05,1.349503727396950126e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.800000000000000000e+01,6.689178553642705083e-05,3.341204501339234412e-05,1.003038341877982020e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.900000000000000000e+01,6.560646579600870609e-05,2.673217568371910602e-05,9.233863966073840857e-05,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
