iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,3.354294061660766602e+00,3.688009738922119141e+00,7.042304039001464844e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,3.964813351631164551e-01,3.076303899288177490e-01,7.041116952896118164e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,2.338368147611618042e-01,1.119658574461936951e-01,3.458026647567749023e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,1.180641204118728638e-01,8.386881649494171143e-02,2.019329369068145752e-01,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,5.168265104293823242e-02,4.778695851564407349e-02,9.946960955858230591e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,4.671835899353027344e-02,2.456188015639781952e-02,7.128024101257324219e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,4.245488718152046204e-02,1.491956319659948349e-02,5.737445130944252014e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,2.562235109508037567e-02,1.967283152043819427e-02,4.529518261551856995e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,1.196641940623521805e-02,1.065586507320404053e-02,2.262228354811668396e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,9.705747477710247040e-03,5.863568745553493500e-03,1.556931622326374054e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,9.272806346416473389e-03,6.467753555625677109e-03,1.574056036770343781e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,7.698022294789552689e-03,6.577040534466505051e-03,1.427506282925605774e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.200000000000000000e+01,6.287204567342996597e-03,4.437255673110485077e-03,1.072446070611476898e-02,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.300000000000000000e+01,2.797489287331700325e-03,1.589283114299178123e-03,4.386772401630878448e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
