y,u_at_x_mid,x,v_at_y_mid
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,4.339218139648437500e-04,7.812500000000000000e-03,-1.702308654785156250e-04
1.562500000000000000e-02,6.079673767089843750e-04,1.562500000000000000e-02,-1.492500305175781250e-04
2.343750000000000000e-02,5.545616149902343750e-04,2.343750000000000000e-02,-9.727478027343750000e-05
3.125000000000000000e-02,4.410743713378906250e-04,3.125000000000000000e-02,-2.384185791015625000e-06
3.906250000000000000e-02,3.528594970703125000e-04,3.906250000000000000e-02,7.820129394531250000e-05
4.687500000000000000e-02,2.670288085937500000e-04,4.687500000000000000e-02,1.511573791503906250e-04
5.468750000000000000e-02,1.821517944335937500e-04,5.468750000000000000e-02,2.050399780273437500e-04
6.250000000000000000e-02,8.869171142578125000e-05,6.250000000000000000e-02,2.455711364746093750e-04
7.031250000000000000e-02,5.722045898437500000e-06,7.031250000000000000e-02,2.617835998535156250e-04
7.812500000000000000e-02,-6.008148193359375000e-05,7.812500000000000000e-02,2.250671386718750000e-04
8.593750000000000000e-02,-8.821487426757812500e-05,8.593750000000000000e-02,1.344680786132812500e-04
9.375000000000000000e-02,-3.528594970703125000e-05,9.375000000000000000e-02,-6.675720214843750000e-06
1.015625000000000000e-01,6.532669067382812500e-05,1.015625000000000000e-01,-1.997947692871093750e-04
1.093750000000000000e-01,1.654624938964843750e-04,1.093750000000000000e-01,-4.415512084960937500e-04
1.171875000000000000e-01,2.465248107910156250e-04,1.171875000000000000e-01,-6.904602050781250000e-04
1.250000000000000000e-01,2.937316894531250000e-04,1.250000000000000000e-01,-8.988380432128906250e-04
1.328125000000000000e-01,3.013610839843750000e-04,1.328125000000000000e-01,-1.040458679199218750e-03
1.406250000000000000e-01,2.613067626953125000e-04,1.406250000000000000e-01,-1.087665557861328125e-03
1.484375000000000000e-01,1.640319824218750000e-04,1.484375000000000000e-01,-9.875297546386718750e-04
1.562500000000000000e-01,3.814697265625000000e-06,1.562500000000000000e-01,-7.596015930175781250e-04
1.640625000000000000e-01,-2.155303955078125000e-04,1.640625000000000000e-01,-4.763603210449218750e-04
1.718750000000000000e-01,-4.425048828125000000e-04,1.718750000000000000e-01,-1.616477966308593750e-04
1.796875000000000000e-01,-6.222724914550781250e-04,1.796875000000000000e-01,1.354217529296875000e-04
1.875000000000000000e-01,-7.328987121582031250e-04,1.875000000000000000e-01,3.676414489746093750e-04
1.953125000000000000e-01,-7.653236389160156250e-04,1.953125000000000000e-01,5.083084106445312500e-04
2.031250000000000000e-01,-7.238388061523437500e-04,2.031250000000000000e-01,5.540847778320312500e-04
2.109375000000000000e-01,-6.561279296875000000e-04,2.109375000000000000e-01,5.335807800292968750e-04
2.187500000000000000e-01,-5.497932434082031250e-04,2.187500000000000000e-01,4.711151123046875000e-04
2.265625000000000000e-01,-3.619194030761718750e-04,2.265625000000000000e-01,3.705024719238281250e-04
2.343750000000000000e-01,-1.277923583984375000e-04,2.343750000000000000e-01,2.255439758300781250e-04
2.421875000000000000e-01,1.039505004882812500e-04,2.421875000000000000e-01,1.001358032226562500e-04
2.500000000000000000e-01,2.989768981933593750e-04,2.500000000000000000e-01,3.576278686523437500e-05
2.578125000000000000e-01,4.005432128906250000e-04,2.578125000000000000e-01,3.576278686523437500e-05
2.656250000000000000e-01,3.485679626464843750e-04,2.656250000000000000e-01,8.583068847656250000e-05
2.734375000000000000e-01,2.288818359375000000e-04,2.734375000000000000e-01,1.549720764160156250e-04
2.812500000000000000e-01,1.215934753417968750e-04,2.812500000000000000e-01,2.651214599609375000e-04
2.890625000000000000e-01,2.908706665039062500e-05,2.890625000000000000e-01,3.962516784667968750e-04
2.968750000000000000e-01,-3.099441528320312500e-05,2.968750000000000000e-01,5.173683166503906250e-04
3.046875000000000000e-01,-5.626678466796875000e-05,3.046875000000000000e-01,6.022453308105468750e-04
3.125000000000000000e-01,-5.578994750976562500e-05,3.125000000000000000e-01,6.403923034667968750e-04
3.203125000000000000e-01,-3.147125244140625000e-05,3.203125000000000000e-01,6.260871887207031250e-04
3.281250000000000000e-01,1.239776611328125000e-05,3.281250000000000000e-01,5.502700805664062500e-04
3.359375000000000000e-01,3.862380981445312500e-05,3.359375000000000000e-01,4.200935363769531250e-04
3.437500000000000000e-01,1.010894775390625000e-04,3.437500000000000000e-01,2.450942993164062500e-04
3.515625000000000000e-01,2.446174621582031250e-04,3.515625000000000000e-01,5.722045898437500000e-05
3.593750000000000000e-01,4.034042358398437500e-04,3.593750000000000000e-01,-1.106262207031250000e-04
3.671875000000000000e-01,5.035400390625000000e-04,3.671875000000000000e-01,-2.326965332031250000e-04
3.750000000000000000e-01,4.982948303222656250e-04,3.750000000000000000e-01,-2.560615539550781250e-04
3.828125000000000000e-01,4.205703735351562500e-04,3.828125000000000000e-01,-2.207756042480468750e-04
3.906250000000000000e-01,3.223419189453125000e-04,3.906250000000000000e-01,-1.902580261230468750e-04
3.984375000000000000e-01,2.274513244628906250e-04,3.984375000000000000e-01,-1.254081726074218750e-04
4.062500000000000000e-01,1.425743103027343750e-04,4.062500000000000000e-01,-1.049041748046875000e-05
