re,method,status,start_time,end_time,exit_code,output_dir,stdout_log,stderr_log
1e2,fno,running,2026-06-13 20:45:37,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.err.log
1e2,fno,finished,2026-06-13 20:45:37,2026-06-13 20:48:09,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.err.log
1e2,cfno,running,2026-06-13 20:48:09,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.err.log
1e2,cfno,finished,2026-06-13 20:48:09,2026-06-13 20:52:21,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.err.log
1e2,hf_cfno,running,2026-06-13 20:52:21,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.err.log
1e2,hf_cfno,finished,2026-06-13 20:52:21,2026-06-13 20:58:33,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.err.log
1e2,subgrid_hf_cfno,running,2026-06-13 20:58:33,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.err.log
1e2,subgrid_hf_cfno,finished,2026-06-13 20:58:33,2026-06-13 21:06:00,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.err.log
1e3,fno,running,2026-06-13 21:06:00,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.err.log
1e3,fno,finished,2026-06-13 21:06:00,2026-06-13 21:08:29,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.err.log
