re,re_label,method,output_dir,history_file,status,final_iter,final_L_cont,final_L_mom,final_pde,final_loss,final_L_gate,final_gate_mean,final_spatial_gate_mean,best_pde_iter,best_pde,best_pde_loss,best_loss_iter,best_loss,best_loss_pde,max_speed,mean_speed,interior_max_speed,interior_mean_speed,max_abs_vorticity,mean_abs_vorticity,interior_max_abs_vorticity,interior_mean_abs_vorticity,max_abs_u,max_abs_v,max_abs_p,ghia_re100_rmse
100.0,Re1e02,fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno\fno_streamfunction_history.csv,ok,4999,0.1968810111284256,1.7688838243484497,1.9657648354768753,1.9657648801803589,0.0,nan,nan,4910,1.8824461549520493,1.8824461698532104,4910,1.8824461698532104,1.8824461549520493,1.0,0.04880915582180023,0.6835156083106995,0.036686010658741,128.0,1.5361216068267822,31.6241455078125,1.189534068107605,1.0,0.17662715911865234,0.2345636785030365,0.1972081110645331
100.0,Re1e02,cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno\cfno_streamfunction_history.csv,ok,4999,0.2510381042957306,1.0704528093338013,1.3214909136295319,1.3214908838272095,0.0,nan,nan,4922,1.2997413724660873,1.2997413873672485,4922,1.2997413873672485,1.2997413724660873,1.0,0.05790195241570473,0.6848083138465881,0.04624113440513611,128.0,1.463708758354187,33.9105224609375,1.101296305656433,1.0,0.1727619171142578,0.7274825572967529,0.18903881585310314
100.0,Re1e02,hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,0.0037697746884077787,0.010577498003840446,0.014347272692248225,0.014347272925078869,0.0,0.26448550820350647,1.0,4936,0.007719684392213821,0.007719684392213821,4936,0.007719684392213821,0.007719684392213821,1.0,0.1809472143650055,0.9005821943283081,0.1768549382686615,128.0,2.02299427986145,36.09666442871094,1.718302607536316,1.0,0.5215826034545898,3.4519338607788086,0.01948638356475094
100.0,Re1e02,subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,0.0036260676570236683,0.009501402266323566,0.013127469923347235,0.013127470389008522,0.0,0.055669721215963364,0.4707450866699219,4913,0.005335437133908272,0.005335437133908272,4913,0.005335437133908272,0.005335437133908272,1.0,0.17477552592754364,0.8909698128700256,0.17036962509155273,128.0,1.9938675165176392,36.06317138671875,1.6742149591445923,1.0,0.5148085355758667,2.950725555419922,0.028051902120822713
1000.0,Re1e03,fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno\fno_streamfunction_history.csv,ok,4999,0.030439551919698715,0.0650186762213707,0.09545822814106941,0.09545822441577911,0.0,nan,nan,4717,0.09073806367814541,0.09073806554079056,4717,0.09073806554079056,0.09073806367814541,1.0,0.03335094451904297,0.42619770765304565,0.021695299074053764,128.0,1.5637953281402588,35.398956298828125,0.8816803693771362,1.0,0.16368651390075684,0.28034964203834534,nan
1000.0,Re1e03,cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\cfno\cfno_streamfunction_history.csv,ok,4999,0.013552460819482803,0.040537029504776,0.054089490324258804,0.054089490324258804,0.0,nan,nan,4999,0.054089490324258804,0.054089490324258804,4999,0.054089490324258804,0.054089490324258804,1.0,0.03285785764455795,0.42583075165748596,0.02115309238433838,128.0,1.6127723455429077,34.22380065917969,0.9485159516334534,1.0,0.22877120971679688,0.47864559292793274,nan
1000.0,Re1e03,hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,0.00013452389976009727,0.0006501350435428321,0.0007846589433029294,0.0007846589433029294,0.0,0.2698729932308197,1.0,4928,0.00026308218821213813,0.0002630821836646646,4928,0.0002630821836646646,0.00026308218821213813,1.0,0.13692565262317657,0.8370850682258606,0.13063430786132812,128.0,2.5712573528289795,45.84844970703125,2.0784173011779785,1.0,0.6289539337158203,0.8055479526519775,nan
1000.0,Re1e03,subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,0.00013355165719985962,0.0019554458558559418,0.0020889975130558014,0.0020889975130558014,0.0,0.05594276636838913,0.4589981138706207,4861,0.00046704875967407133,0.0004670487542171031,4861,0.0004670487542171031,0.00046704875967407133,1.0,0.14329414069652557,0.8330598473548889,0.137497678399086,128.0,2.640624761581421,44.17132568359375,2.1524293422698975,1.0,0.6466789245605469,0.8049845099449158,nan
10000.0,Re1e04,fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno\fno_streamfunction_history.csv,ok,4999,0.0022722077555954456,0.006009985692799091,0.008282193448394537,0.008282193914055824,0.0,nan,nan,4517,0.008166895480826497,0.008166895247995853,4517,0.008166895247995853,0.008166895480826497,1.0,0.015858234837651253,0.19177784025669098,0.00712414737790823,128.0,1.705201268196106,25.498291015625,0.3356681168079376,1.0,0.03977394104003906,0.11437057703733444,nan
10000.0,Re1e04,cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno\cfno_streamfunction_history.csv,ok,4999,0.0044282884337008,0.0055986265651881695,0.01002691499888897,0.01002691499888897,0.0,nan,nan,4932,0.009970721323043108,0.00997072085738182,4932,0.00997072085738182,0.009970721323043108,1.0,0.014715041033923626,0.03534218668937683,0.00657105166465044,128.0,1.6111096143722534,9.122589111328125,0.182060107588768,1.0,0.021973609924316406,0.06255167722702026,nan
10000.0,Re1e04,hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,2.0003741155960597e-05,0.0001729971991153434,0.000193000940271304,0.0001930009457282722,0.0,0.27751725912094116,1.0,4588,6.143773771327687e-05,6.143773498479277e-05,4588,6.143773498479277e-05,6.143773771327687e-05,1.0,0.04675044119358063,0.4661290943622589,0.03823845461010933,137.25289916992188,2.6041531562805176,41.44526672363281,1.5123441219329834,1.0,0.30721235275268555,0.2792760133743286,nan
10000.0,Re1e04,subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\subgrid_hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,2.1844778530066833e-05,0.0001708232593955472,0.00019266803792561404,0.00019266804156359285,0.0,0.05528771132230759,0.43942445516586304,4551,0.00013643995225720573,0.00013643995043821633,4551,0.00013643995043821633,0.00013643995225720573,1.0,0.0681062564253807,0.369120329618454,0.06116143614053726,129.3494873046875,2.9528615474700928,39.759490966796875,1.9031850099563599,1.0,0.28800439834594727,0.4408595860004425,nan
100000.0,Re1e05,fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\fno\fno_streamfunction_history.csv,ok,4999,4.6096254664007574e-05,9.486473572906107e-05,0.00014096099039306864,0.00014096099766902626,0.0,nan,nan,4712,0.00014050999016035348,0.00014050999016035348,4712,0.00014050999016035348,0.00014050999016035348,1.0,0.008570520207285881,0.0011384158860892057,0.0008464881684631109,128.0,1.499507188796997,0.060699462890625,0.009902413934469223,1.0,0.0011339187622070312,0.07780294865369797,nan
100000.0,Re1e05,cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\cfno\cfno_streamfunction_history.csv,ok,4999,4.8335718020098284e-05,8.897654333850369e-05,0.00013731226135860197,0.00013731226499658078,0.0,nan,nan,1644,0.00012338212036411278,0.0001233821240020916,1644,0.0001233821240020916,0.00012338212036411278,1.0,0.008818277157843113,0.004110430367290974,0.0011152985971421003,128.0,1.5293234586715698,0.3544921875,0.04249623417854309,1.0,0.0028700828552246094,0.06909176707267761,nan
100000.0,Re1e05,hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,2.150078870499783e-07,1.9478018202789826e-06,2.162809707328961e-06,2.1628097783832345e-06,0.0,0.27862510085105896,1.0,4984,1.459441151041574e-06,1.4594411368307192e-06,4984,1.4594411368307192e-06,1.459441151041574e-06,1.0,0.009537942707538605,0.08313607424497604,0.001601267489604652,129.16384887695312,1.5658907890319824,5.252777099609375,0.08374054729938507,1.0,0.03613567352294922,0.41395294666290283,nan
100000.0,Re1e05,subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\subgrid_hf_cfno\hf_cfno_streamfunction_history.csv,ok,4999,1.1560649681996438e-06,4.105203970539151e-06,5.2612689387387945e-06,5.261269052425632e-06,0.0,0.05605046823620796,0.45606380701065063,4888,4.316099875723012e-06,4.316099875723012e-06,4888,4.316099875723012e-06,4.316099875723012e-06,1.0,0.0097472183406353,0.08539654314517975,0.0018369880272075534,128.73016357421875,1.6251205205917358,5.50860595703125,0.13879945874214172,1.0,0.015596866607666016,0.04880701005458832,nan
